geo,gender,age_group,stage,population_pred,year,operator
British Columbia,Women+,50 to 54 years,after_aging,173814.2,2023,fixed20
British Columbia,Women+,55 to 59 years,after_aging,179872.6,2023,fixed20
British Columbia,Women+,60 to 64 years,after_aging,185451.6,2023,fixed20
British Columbia,Women+,65 to 69 years,after_aging,174453.80000000002,2023,fixed20
British Columbia,Women+,70 to 74 years,after_aging,148737.80000000002,2023,fixed20
British Columbia,Women+,75 to 79 years,after_aging,111615.0,2023,fixed20
British Columbia,Women+,80 to 84 years,after_aging,75460.8,2023,fixed20
British Columbia,Women+,85 to 89 years,after_aging,48080.8,2023,fixed20
British Columbia,Women+,90 to 94 years,after_aging,27388.0,2023,fixed20
British Columbia,Women+,95 to 99 years,after_aging,10796.0,2023,fixed20
British Columbia,Women+,100 years and older,after_aging,2879.8,2023,fixed20
Manitoba,Men+,-1 year,after_aging,0.0,2023,fixed20
Manitoba,Men+,0 to 4 years,after_aging,33763.200000000004,2023,fixed20
Manitoba,Men+,5 to 9 years,after_aging,45399.200000000004,2023,fixed20
Manitoba,Men+,10 to 14 years,after_aging,45606.0,2023,fixed20
Manitoba,Men+,15 to 19 years,after_aging,44538.0,2023,fixed20
Manitoba,Men+,20 to 24 years,after_aging,54344.0,2023,fixed20
Manitoba,Men+,25 to 29 years,after_aging,55151.4,2023,fixed20
Manitoba,Men+,30 to 34 years,after_aging,52010.8,2023,fixed20
Manitoba,Men+,35 to 39 years,after_aging,49736.8,2023,fixed20
Manitoba,Men+,40 to 44 years,after_aging,46626.0,2023,fixed20
Manitoba,Men+,45 to 49 years,after_aging,42886.4,2023,fixed20
Manitoba,Men+,50 to 54 years,after_aging,40728.2,2023,fixed20
Manitoba,Men+,55 to 59 years,after_aging,41992.0,2023,fixed20
Manitoba,Men+,60 to 64 years,after_aging,43349.4,2023,fixed20
Manitoba,Men+,65 to 69 years,after_aging,38482.4,2023,fixed20
Manitoba,Men+,70 to 74 years,after_aging,30430.000000000004,2023,fixed20
Manitoba,Men+,75 to 79 years,after_aging,21976.0,2023,fixed20
Manitoba,Men+,80 to 84 years,after_aging,13761.2,2023,fixed20
Manitoba,Men+,85 to 89 years,after_aging,7586.8,2023,fixed20
Manitoba,Men+,90 to 94 years,after_aging,3441.4000000000005,2023,fixed20
Manitoba,Men+,95 to 99 years,after_aging,1088.2,2023,fixed20
Manitoba,Men+,100 years and older,after_aging,211.6,2023,fixed20
Manitoba,Women+,-1 year,after_aging,0.0,2023,fixed20
Manitoba,Women+,0 to 4 years,after_aging,32453.600000000002,2023,fixed20
Manitoba,Women+,5 to 9 years,after_aging,42682.200000000004,2023,fixed20
Manitoba,Women+,10 to 14 years,after_aging,42838.2,2023,fixed20
Manitoba,Women+,15 to 19 years,after_aging,41444.200000000004,2023,fixed20
Manitoba,Women+,20 to 24 years,after_aging,47247.00000000001,2023,fixed20
Manitoba,Women+,25 to 29 years,after_aging,48217.4,2023,fixed20
Manitoba,Women+,30 to 34 years,after_aging,48161.0,2023,fixed20
Manitoba,Women+,35 to 39 years,after_aging,47272.4,2023,fixed20
Manitoba,Women+,40 to 44 years,after_aging,45099.4,2023,fixed20
Manitoba,Women+,45 to 49 years,after_aging,41804.2,2023,fixed20
Manitoba,Women+,50 to 54 years,after_aging,40400.4,2023,fixed20
Manitoba,Women+,55 to 59 years,after_aging,42330.6,2023,fixed20
Manitoba,Women+,60 to 64 years,after_aging,43766.600000000006,2023,fixed20
Manitoba,Women+,65 to 69 years,after_aging,39644.4,2023,fixed20
Manitoba,Women+,70 to 74 years,after_aging,33115.4,2023,fixed20
Manitoba,Women+,75 to 79 years,after_aging,24757.4,2023,fixed20
Manitoba,Women+,80 to 84 years,after_aging,17084.0,2023,fixed20
Manitoba,Women+,85 to 89 years,after_aging,11375.0,2023,fixed20
Manitoba,Women+,90 to 94 years,after_aging,6970.0,2023,fixed20
Manitoba,Women+,95 to 99 years,after_aging,2893.0,2023,fixed20
Manitoba,Women+,100 years and older,after_aging,832.6,2023,fixed20
New Brunswick,Men+,-1 year,after_aging,0.0,2023,fixed20
New Brunswick,Men+,0 to 4 years,after_aging,13750.400000000001,2023,fixed20
New Brunswick,Men+,5 to 9 years,after_aging,19452.800000000003,2023,fixed20
New Brunswick,Men+,10 to 14 years,after_aging,20921.4,2023,fixed20
New Brunswick,Men+,15 to 19 years,after_aging,21090.2,2023,fixed20
New Brunswick,Men+,20 to 24 years,after_aging,23123.2,2023,fixed20
New Brunswick,Men+,25 to 29 years,after_aging,24019.8,2023,fixed20
New Brunswick,Men+,30 to 34 years,after_aging,23846.4,2023,fixed20
New Brunswick,Men+,35 to 39 years,after_aging,24301.4,2023,fixed20
New Brunswick,Men+,40 to 44 years,after_aging,24641.600000000002,2023,fixed20
New Brunswick,Men+,45 to 49 years,after_aging,25082.0,2023,fixed20
New Brunswick,Men+,50 to 54 years,after_aging,26271.8,2023,fixed20
New Brunswick,Men+,55 to 59 years,after_aging,29549.0,2023,fixed20
New Brunswick,Men+,60 to 64 years,after_aging,31018.4,2023,fixed20
New Brunswick,Men+,65 to 69 years,after_aging,29298.800000000003,2023,fixed20
New Brunswick,Men+,70 to 74 years,after_aging,24975.2,2023,fixed20
New Brunswick,Men+,75 to 79 years,after_aging,18138.6,2023,fixed20
New Brunswick,Men+,80 to 84 years,after_aging,11153.2,2023,fixed20
New Brunswick,Men+,85 to 89 years,after_aging,5797.200000000001,2023,fixed20
New Brunswick,Men+,90 to 94 years,after_aging,2407.8,2023,fixed20
New Brunswick,Men+,95 to 99 years,after_aging,645.0,2023,fixed20
New Brunswick,Men+,100 years and older,after_aging,103.8,2023,fixed20
New Brunswick,Women+,-1 year,after_aging,0.0,2023,fixed20
New Brunswick,Women+,0 to 4 years,after_aging,13013.6,2023,fixed20
New Brunswick,Women+,5 to 9 years,after_aging,18783.0,2023,fixed20
New Brunswick,Women+,10 to 14 years,after_aging,20238.4,2023,fixed20
New Brunswick,Women+,15 to 19 years,after_aging,20073.800000000003,2023,fixed20
New Brunswick,Women+,20 to 24 years,after_aging,21573.0,2023,fixed20
New Brunswick,Women+,25 to 29 years,after_aging,22335.0,2023,fixed20
New Brunswick,Women+,30 to 34 years,after_aging,23386.0,2023,fixed20
New Brunswick,Women+,35 to 39 years,after_aging,24677.2,2023,fixed20
New Brunswick,Women+,40 to 44 years,after_aging,24957.600000000002,2023,fixed20
New Brunswick,Women+,45 to 49 years,after_aging,25951.600000000002,2023,fixed20
New Brunswick,Women+,50 to 54 years,after_aging,26660.600000000002,2023,fixed20
New Brunswick,Women+,55 to 59 years,after_aging,30134.4,2023,fixed20
New Brunswick,Women+,60 to 64 years,after_aging,32174.8,2023,fixed20
New Brunswick,Women+,65 to 69 years,after_aging,30903.0,2023,fixed20
New Brunswick,Women+,70 to 74 years,after_aging,26621.2,2023,fixed20
New Brunswick,Women+,75 to 79 years,after_aging,19857.0,2023,fixed20
New Brunswick,Women+,80 to 84 years,after_aging,13201.0,2023,fixed20
New Brunswick,Women+,85 to 89 years,after_aging,8197.400000000001,2023,fixed20
New Brunswick,Women+,90 to 94 years,after_aging,4373.6,2023,fixed20
New Brunswick,Women+,95 to 99 years,after_aging,1705.8000000000002,2023,fixed20
New Brunswick,Women+,100 years and older,after_aging,463.0,2023,fixed20
Newfoundland and Labrador,Men+,-1 year,after_aging,0.0,2023,fixed20
Newfoundland and Labrador,Men+,0 to 4 years,after_aging,8032.8,2023,fixed20
Newfoundland and Labrador,Men+,5 to 9 years,after_aging,11547.400000000001,2023,fixed20
Newfoundland and Labrador,Men+,10 to 14 years,after_aging,12942.400000000001,2023,fixed20
Newfoundland and Labrador,Men+,15 to 19 years,after_aging,13860.2,2023,fixed20
Newfoundland and Labrador,Men+,20 to 24 years,after_aging,14958.000000000002,2023,fixed20
Newfoundland and Labrador,Men+,25 to 29 years,after_aging,14534.2,2023,fixed20
Newfoundland and Labrador,Men+,30 to 34 years,after_aging,14864.400000000001,2023,fixed20
Newfoundland and Labrador,Men+,35 to 39 years,after_aging,15256.000000000002,2023,fixed20
Newfoundland and Labrador,Men+,40 to 44 years,after_aging,15635.800000000001,2023,fixed20
Newfoundland and Labrador,Men+,45 to 49 years,after_aging,16634.0,2023,fixed20
Newfoundland and Labrador,Men+,50 to 54 years,after_aging,18602.4,2023,fixed20
Newfoundland and Labrador,Men+,55 to 59 years,after_aging,20640.2,2023,fixed20
Newfoundland and Labrador,Men+,60 to 64 years,after_aging,21404.2,2023,fixed20
Newfoundland and Labrador,Men+,65 to 69 years,after_aging,20474.2,2023,fixed20
Newfoundland and Labrador,Men+,70 to 74 years,after_aging,17752.600000000002,2023,fixed20
Newfoundland and Labrador,Men+,75 to 79 years,after_aging,12915.2,2023,fixed20
Newfoundland and Labrador,Men+,80 to 84 years,after_aging,7386.400000000001,2023,fixed20
Newfoundland and Labrador,Men+,85 to 89 years,after_aging,3609.6000000000004,2023,fixed20
Newfoundland and Labrador,Men+,90 to 94 years,after_aging,1342.6,2023,fixed20
Newfoundland and Labrador,Men+,95 to 99 years,after_aging,304.4,2023,fixed20
Newfoundland and Labrador,Men+,100 years and older,after_aging,48.0,2023,fixed20
Newfoundland and Labrador,Women+,-1 year,after_aging,0.0,2023,fixed20
Newfoundland and Labrador,Women+,0 to 4 years,after_aging,7635.200000000001,2023,fixed20
Newfoundland and Labrador,Women+,5 to 9 years,after_aging,10993.600000000002,2023,fixed20
Newfoundland and Labrador,Women+,10 to 14 years,after_aging,12297.600000000002,2023,fixed20
Newfoundland and Labrador,Women+,15 to 19 years,after_aging,12794.6,2023,fixed20
Newfoundland and Labrador,Women+,20 to 24 years,after_aging,13600.800000000001,2023,fixed20
Newfoundland and Labrador,Women+,25 to 29 years,after_aging,13354.000000000002,2023,fixed20
Newfoundland and Labrador,Women+,30 to 34 years,after_aging,14429.2,2023,fixed20
Newfoundland and Labrador,Women+,35 to 39 years,after_aging,15331.400000000001,2023,fixed20
Newfoundland and Labrador,Women+,40 to 44 years,after_aging,16179.000000000002,2023,fixed20
Newfoundland and Labrador,Women+,45 to 49 years,after_aging,17289.0,2023,fixed20
Newfoundland and Labrador,Women+,50 to 54 years,after_aging,19352.6,2023,fixed20
Newfoundland and Labrador,Women+,55 to 59 years,after_aging,21373.2,2023,fixed20
Newfoundland and Labrador,Women+,60 to 64 years,after_aging,22023.2,2023,fixed20
Newfoundland and Labrador,Women+,65 to 69 years,after_aging,21412.800000000003,2023,fixed20
Newfoundland and Labrador,Women+,70 to 74 years,after_aging,18986.4,2023,fixed20
Newfoundland and Labrador,Women+,75 to 79 years,after_aging,14199.6,2023,fixed20
Newfoundland and Labrador,Women+,80 to 84 years,after_aging,8870.400000000001,2023,fixed20
Newfoundland and Labrador,Women+,85 to 89 years,after_aging,4994.0,2023,fixed20
Newfoundland and Labrador,Women+,90 to 94 years,after_aging,2367.2000000000003,2023,fixed20
Newfoundland and Labrador,Women+,95 to 99 years,after_aging,814.8000000000001,2023,fixed20
