model,target,geo,rmse,mae,relative_rmse,n
real_single_age_aging_only,P1_0_14,ALL,68413.74216040155,42983.57876692542,0.12113007623477084,33
real_single_age_aging_only,P1_0_14,Alberta,74041.34603579769,73911.09699034404,0.08576247489176335,3
real_single_age_aging_only,P1_0_14,British Columbia,53875.5361725048,53753.62458884964,0.07206899314766779,3
real_single_age_aging_only,P1_0_14,Manitoba,19777.16731312491,19738.688434027466,0.07449027236581887,3
real_single_age_aging_only,P1_0_14,New Brunswick,11050.05241500994,11018.341842000702,0.09186660767194721,3
real_single_age_aging_only,P1_0_14,Newfoundland and Labrador,4768.281650074338,4765.664135304818,0.06996231604540148,3
real_single_age_aging_only,P1_0_14,Nova Scotia,11769.1899980344,11712.111082897803,0.0807358650927765,3
real_single_age_aging_only,P1_0_14,Ontario,180800.06357988706,180525.98899680484,0.07671091743335051,3
real_single_age_aging_only,P1_0_14,Prince Edward Island,2031.1433341628333,2027.8567499978465,0.08068203488279883,3
real_single_age_aging_only,P1_0_14,Quebec,96996.62611162571,96838.21206150825,0.07028649344546645,3
real_single_age_aging_only,P1_0_14,Saskatchewan,18005.31653191872,17956.01545854876,0.07736790408604804,3
real_single_age_aging_only,P1_0_14,Yukon,575.4798198636217,571.7660958955106,0.07843530323887443,3
real_single_age_aging_only,P2_15_64,ALL,115834.29555785302,60859.687779595355,0.047437920639272324,33
real_single_age_aging_only,P2_15_64,Alberta,120471.78130630599,114786.95739625534,0.03684362278328785,3
real_single_age_aging_only,P2_15_64,British Columbia,108073.44760831067,91658.63869395806,0.028809245430389697,3
real_single_age_aging_only,P2_15_64,Manitoba,23132.680382351016,21183.066696979455,0.02390857747770929,3
real_single_age_aging_only,P2_15_64,New Brunswick,16597.479832580837,15664.364263489222,0.030987821118196975,3
real_single_age_aging_only,P2_15_64,Newfoundland and Labrador,6264.3710748052235,5956.265566595151,0.018303548220170763,3
real_single_age_aging_only,P2_15_64,Nova Scotia,21085.480051651928,19688.078625664657,0.030520965240017902,3
real_single_age_aging_only,P2_15_64,Ontario,330221.36364629207,282031.1710715567,0.030889655604458017,3
real_single_age_aging_only,P2_15_64,Prince Edward Island,4533.852888179507,4278.5893306828175,0.038873480362678084,3
real_single_age_aging_only,P2_15_64,Quebec,103123.68601141236,94080.41281956558,0.018179780889889918,3
real_single_age_aging_only,P2_15_64,Saskatchewan,20071.237421874375,18977.29359177752,0.025394693070692982,3
real_single_age_aging_only,P2_15_64,Yukon,1270.0634131892,1151.727519024269,0.03887314560446866,3
real_single_age_aging_only,P3_65plus,ALL,36208.10073140534,22056.145334399494,0.050877522847773866,33
real_single_age_aging_only,P3_65plus,Alberta,16500.422477156088,16493.05438659938,0.022222591685582292,3
real_single_age_aging_only,P3_65plus,British Columbia,32519.82261324475,32515.263282807467,0.02880202803274942,3
real_single_age_aging_only,P3_65plus,Manitoba,8857.596758063668,8853.75513100692,0.03515356443022149,3
real_single_age_aging_only,P3_65plus,New Brunswick,6424.867473542653,6411.706105489914,0.032592143264029635,3
