geo,geography_level,component,gender,age_group,period,start_year,end_year,value
"Avalon Peninsula, Newfoundland and Labrador",economic_region,net_non_permanent_residents,Men+,All ages,2024 / 2025,2024,2025,-45.0
"Avalon Peninsula, Newfoundland and Labrador",economic_region,net_non_permanent_residents,Women+,All ages,2024 / 2025,2024,2025,58.0
"Avalon Peninsula, Newfoundland and Labrador",economic_region,residual_deviation,Men+,All ages,2024 / 2025,2024,2025,
"Avalon Peninsula, Newfoundland and Labrador",economic_region,residual_deviation,Women+,All ages,2024 / 2025,2024,2025,
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,births,Men+,All ages,2024 / 2025,2024,2025,76.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,births,Women+,All ages,2024 / 2025,2024,2025,73.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,deaths,Men+,All ages,2024 / 2025,2024,2025,281.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,deaths,Women+,All ages,2024 / 2025,2024,2025,254.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,immigrants,Men+,All ages,2024 / 2025,2024,2025,37.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,immigrants,Women+,All ages,2024 / 2025,2024,2025,36.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,emigrants,Men+,All ages,2024 / 2025,2024,2025,1.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,emigrants,Women+,All ages,2024 / 2025,2024,2025,0.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,returning_emigrants,Men+,All ages,2024 / 2025,2024,2025,0.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,returning_emigrants,Women+,All ages,2024 / 2025,2024,2025,0.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,net_temporary_emigration,Men+,All ages,2024 / 2025,2024,2025,
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,net_temporary_emigration,Women+,All ages,2024 / 2025,2024,2025,
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,net_interprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,22.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,net_interprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,23.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,net_intraprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,-113.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,net_intraprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,-78.0
