model,target,geo,rmse,mae,relative_rmse,n
fixed20_aging_births,P2_15_64,Alberta,121567.83057909133,115936.2666666666,0.037178825147862554,3
fixed20_aging_births,P2_15_64,British Columbia,109774.34788978069,93664.33333333302,0.029262656094580636,3
fixed20_aging_births,P2_15_64,Manitoba,23475.26778122022,21555.79999999993,0.0242626556577286,3
fixed20_aging_births,P2_15_64,New Brunswick,16945.0149184551,16031.733333333317,0.03163667595531681,3
fixed20_aging_births,P2_15_64,Newfoundland and Labrador,6516.720672239955,6221.066666666632,0.01904087571399757,3
fixed20_aging_births,P2_15_64,Nova Scotia,21526.167015053994,20159.666666666628,0.0311588540364207,3
fixed20_aging_births,P2_15_64,Ontario,334727.9020966722,287348.599999999,0.03131120743612448,3
fixed20_aging_births,P2_15_64,Prince Edward Island,4595.753293349552,4344.46666666666,0.03940421751806597,3
fixed20_aging_births,P2_15_64,Quebec,106172.04640305859,97402.2666666663,0.018717179485081857,3
fixed20_aging_births,P2_15_64,Saskatchewan,20365.69943082398,19286.933333333272,0.025767254671210216,3
fixed20_aging_births,P2_15_64,Yukon,1283.8353165418052,1166.7999999999993,0.03929466566300824,3
fixed20_aging_births,P3_65plus,ALL,39577.71607496205,24150.212121212167,0.05561231086943109,33
fixed20_aging_births,P3_65plus,Alberta,18918.48450484345,18911.13333333338,0.025479211640986547,3
fixed20_aging_births,P3_65plus,British Columbia,35677.4133927896,35673.20000000003,0.0315986305613057,3
fixed20_aging_births,P3_65plus,Manitoba,9618.714360384492,9615.333333333343,0.038174247963574146,3
fixed20_aging_births,P3_65plus,New Brunswick,6976.9574314309875,6964.600000000006,0.03539279169393522,3
fixed20_aging_births,P3_65plus,Newfoundland and Labrador,4882.295537961628,4879.533333333336,0.03622266119761717,3
fixed20_aging_births,P3_65plus,Nova Scotia,9030.426638131052,9026.06666666668,0.03767177450064404,3
fixed20_aging_births,P3_65plus,Ontario,103968.2778164573,103951.40000000021,0.03507003198636122,3
fixed20_aging_births,P3_65plus,Prince Edward Island,1261.0745576689735,1259.7333333333324,0.03418071133784701,3
fixed20_aging_births,P3_65plus,Quebec,66892.69721745932,66890.20000000019,0.03509525224163314,3
fixed20_aging_births,P3_65plus,Saskatchewan,8202.27548915544,8201.600000000006,0.03752184578753632,3
fixed20_aging_births,P3_65plus,Yukon,280.0770132183886,279.5333333333335,0.039512393118042125,3
fixed20_aging_births,P_tot,ALL,102930.8429364396,52961.72727272715,0.02768241397877808,33
fixed20_aging_births,P_tot,Alberta,129110.0739834038,122063.33333333333,0.026480583374459105,3
fixed20_aging_births,P_tot,British Columbia,93798.12486043244,82096.66666666667,0.016666386790226487,3
