geo,gender,age_group,stage,population_pred,year,operator
British Columbia,Women+,50 to 54 years,after_aging,172585.6,2022,fixed20
British Columbia,Women+,55 to 59 years,after_aging,182239.2,2022,fixed20
British Columbia,Women+,60 to 64 years,after_aging,184959.2,2022,fixed20
British Columbia,Women+,65 to 69 years,after_aging,170095.2,2022,fixed20
British Columbia,Women+,70 to 74 years,after_aging,145881.40000000002,2022,fixed20
British Columbia,Women+,75 to 79 years,after_aging,104513.8,2022,fixed20
British Columbia,Women+,80 to 84 years,after_aging,71785.20000000001,2022,fixed20
British Columbia,Women+,85 to 89 years,after_aging,46741.8,2022,fixed20
British Columbia,Women+,90 to 94 years,after_aging,26855.2,2022,fixed20
British Columbia,Women+,95 to 99 years,after_aging,10555.8,2022,fixed20
British Columbia,Women+,100 years and older,after_aging,2802.0,2022,fixed20
Manitoba,Men+,-1 year,after_aging,0.0,2022,fixed20
Manitoba,Men+,0 to 4 years,after_aging,34401.6,2022,fixed20
Manitoba,Men+,5 to 9 years,after_aging,45180.4,2022,fixed20
Manitoba,Men+,10 to 14 years,after_aging,44975.4,2022,fixed20
Manitoba,Men+,15 to 19 years,after_aging,43723.2,2022,fixed20
Manitoba,Men+,20 to 24 years,after_aging,52109.8,2022,fixed20
Manitoba,Men+,25 to 29 years,after_aging,53076.200000000004,2022,fixed20
Manitoba,Men+,30 to 34 years,after_aging,50809.00000000001,2022,fixed20
Manitoba,Men+,35 to 39 years,after_aging,48853.0,2022,fixed20
Manitoba,Men+,40 to 44 years,after_aging,45562.200000000004,2022,fixed20
Manitoba,Men+,45 to 49 years,after_aging,42481.40000000001,2022,fixed20
Manitoba,Men+,50 to 54 years,after_aging,40498.0,2022,fixed20
Manitoba,Men+,55 to 59 years,after_aging,43345.00000000001,2022,fixed20
Manitoba,Men+,60 to 64 years,after_aging,43348.00000000001,2022,fixed20
Manitoba,Men+,65 to 69 years,after_aging,37477.0,2022,fixed20
Manitoba,Men+,70 to 74 years,after_aging,29999.0,2022,fixed20
Manitoba,Men+,75 to 79 years,after_aging,20714.4,2022,fixed20
Manitoba,Men+,80 to 84 years,after_aging,13126.4,2022,fixed20
Manitoba,Men+,85 to 89 years,after_aging,7493.400000000001,2022,fixed20
Manitoba,Men+,90 to 94 years,after_aging,3461.2,2022,fixed20
Manitoba,Men+,95 to 99 years,after_aging,1107.4,2022,fixed20
Manitoba,Men+,100 years and older,after_aging,230.0,2022,fixed20
Manitoba,Women+,-1 year,after_aging,0.0,2022,fixed20
Manitoba,Women+,0 to 4 years,after_aging,33063.200000000004,2022,fixed20
Manitoba,Women+,5 to 9 years,after_aging,42350.600000000006,2022,fixed20
Manitoba,Women+,10 to 14 years,after_aging,42248.40000000001,2022,fixed20
Manitoba,Women+,15 to 19 years,after_aging,40356.600000000006,2022,fixed20
Manitoba,Women+,20 to 24 years,after_aging,45422.0,2022,fixed20
Manitoba,Women+,25 to 29 years,after_aging,46914.600000000006,2022,fixed20
