alpha_source_65_69,alpha_target_70_74,rmse,mae,max_abs_error,median_abs_error
0.24,0.255,2542.004323265108,1937.1810547617886,4252.238582906546,989.5446247346699
0.155,0.15,2577.7447690457866,2109.3193880951344,4203.613582906546,1123.4796247347258
0.205,0.205,2580.9122393755583,2306.914638272021,3819.9249566441285,2090.7603752653813
0.26,0.28,2626.967704284351,1944.2860547617893,4403.773582906579,1094.3546247346676
0.14,0.125,2632.92712068537,2326.994638271979,4015.99995664414,1852.0153752652695
0.175,0.175,2649.6866331852884,2116.4243880951544,4355.148582906579,1228.2896247347817
0.25,0.26,2670.0685230105646,2349.6029716053163,3858.8799566440866,2434.315375265316
0.185,0.18,2708.0282935229147,2369.682971605313,4054.9549566440983,2195.5703752653208
0.195,0.2,2730.6351781166913,2123.5293880951162,4506.683582906553,1333.099624734663
0.23,0.235,2803.1034788101206,2412.3713049386474,4093.9099566440564,2539.125375265372
0.215,0.225,2819.814844986497,2130.6343880951367,4658.218582906586,1437.9096247346606
0.165,0.155,2839.9268567751383,2432.4513049386246,4289.984956644068,2300.38037526526
0.13,0.12,2842.9681083480286,2302.772721428463,4609.593582906586,1571.8446247347165
0.235,0.25,2916.4706592376237,2137.739388095137,4809.75358290656,1542.7196247347165
0.15,0.145,2928.1070388827975,2309.8777214284637,4761.12858290656,1676.6546247347142
0.21,0.21,2940.2330469561334,2475.139638271959,4328.939956644084,2643.9353752653114
0.145,0.13,2975.972097869088,2495.2196382720335,4525.014956644154,2405.190375265316
0.255,0.275,3019.8848512040536,2261.034416999047,4961.288582906593,1647.529624734656
0.17,0.17,3020.697280327204,2316.9827214284646,4912.663582906593,1781.4646247347118
0.255,0.265,3057.387127550231,2517.8279716053316,4367.894956644159,2987.4903752652463
0.19,0.185,3080.910529382268,2537.9079716053093,4563.969956644112,2748.745375265251
0.19,0.195,3120.0755359041173,2324.087721428465,5064.198582906625,1886.2746247347095
0.235,0.24,3201.6354120260125,2580.5963049387015,4602.924956644187,3092.300375265302
0.17,0.16,3224.671622329055,2600.6763049386595,4798.99995664414,2853.555375265307
0.21,0.22,3225.614468945127,2473.352750332366,5215.733582906541,1991.0846247347072
0.145,0.14,3329.6848877960315,2521.8794169990774,5318.643582906632,2229.8296247347025
0.23,0.245,3336.7295540602736,2637.144416999033,5367.268582906574,2095.8946247346466
0.215,0.215,3348.5490346593,2713.3455830009575,4837.954956644098,3197.110375265358
0.15,0.135,3371.121848257578,2664.8189163342663,5034.029956644052,2958.3653752653045
0.165,0.165,3436.907439650024,2685.671083665744,5470.178582906607,2334.6396247347584
0.25,0.27,3452.8825050616138,2800.9360836657384,5518.803582906607,2200.7046247347025
0.26,0.27,3485.672684274525,2925.6639163342575,4876.909956644056,3540.665375265293
0.195,0.19,3497.7921644441108,2877.1372496676245,5072.984956644126,3301.9203752652975
0.185,0.19,3549.2706444529817,2849.4627503323522,5621.713582906523,2439.449624734698
0.24,0.245,3636.9626605465774,3089.4555830009435,5111.939956644084,3645.4753752653487
0.175,0.165,3649.078990091235,3040.928916334233,5308.014956644096,3406.730375265237
0.205,0.215,3666.301887267349,3013.254416999019,5773.248582906555,2544.2596247346373
0.14,0.135,3766.130634607523,3061.7810836657495,5876.158582906588,2783.004624734749
0.225,0.24,3787.5684827782025,3177.0460836657244,5924.783582906588,2649.069624734693
0.22,0.22,3790.0578872455553,3253.2472496676105,5346.969956644112,3750.285375265288
0.155,0.14,3802.165565615787,3204.7205830009384,5543.044956644124,3511.540375265293
0.16,0.16,3883.812730052363,3225.5727503323774,6027.693582906562,2887.8146247346886
0.245,0.265,3912.6766486689708,3340.83775033243,6076.318582906621,2753.879624734749
0.265,0.275,3941.593581298773,3465.565583000949,5385.92495664407,4093.8403752653394
0.2,0.195,3944.748185281839,3417.0389163342575,5581.999956644082,3855.095375265286
0.18,0.185,4005.4613653678903,3389.3644169990826,6179.228582906595,2992.6246247347444
0.245,0.25,4097.373959126893,3629.3572496675965,5620.954956644098,4198.650375265279
0.18,0.17,4100.85305321301,3580.830583000905,5817.029956644052,3959.9053752652835
0.2,0.21,4130.726115217795,3553.1560836657104,6330.763582906569,3097.434624734684
0.135,0.13,4226.656639223401,3601.682750332402,6433.673582906602,3336.1796247346792
0.225,0.225,4254.438250095664,3793.1489163343017,5855.984956644126,4303.460375265335
0.16,0.145,4258.216920843609,3744.622249667591,6052.05995664408,4064.715375265281
0.22,0.235,4259.287944079351,3716.947750332358,6482.2985829064855,3202.2446247346816
0.155,0.155,4351.967116093898,3765.4744169991077,6585.208582906635,3440.989624734735
0.24,0.26,4390.857251650055,3880.7394169990635,6633.833582906576,3307.0546247346792
0.205,0.2,4412.6493571292185,3956.9405830009878,6091.014956644154,4408.270375265391
0.27,0.28,4416.599794233532,4005.467249667621,5894.939956644084,4647.015375265328
0.14,0.12,4416.705218601442,3908.413916334277,6287.089956644108,4169.525375265279
0.175,0.18,4480.409275432674,3929.2660836656964,6736.743582906551,3545.7996247346746
