operator,stage,geo,year,P1_0_14,P2_15_64,P3_65plus,P_tot
fixed20,after_births,Alberta,2024,836210.4,3141101.6,761292.0,4738604.0
fixed20,after_births,Alberta,2025,858873.2000000001,3303014.6,799588.2000000001,4961476.0
fixed20,after_births,British Columbia,2023,730634.8,3542705.0000000005,1126715.2,5400055.000000001
fixed20,after_births,British Columbia,2024,735231.2000000001,3658645.8000000003,1164137.0,5558014.0
fixed20,after_births,British Columbia,2025,740380.4,3771694.2,1203410.4000000001,5715485.000000001
fixed20,after_births,Manitoba,2023,258224.40000000002,917106.2000000001,253649.40000000002,1428980.0
fixed20,after_births,Manitoba,2024,260933.80000000002,946428.4000000001,261436.80000000002,1468799.0000000002
fixed20,after_births,Manitoba,2025,263858.2,974440.0,269665.8,1507964.0
fixed20,after_births,New Brunswick,2023,112304.6,504867.80000000005,197841.6,815014.0
fixed20,after_births,New Brunswick,2024,115326.4,517901.4,204213.2,837441.0
fixed20,after_births,New Brunswick,2025,118709.40000000001,535974.6,210227.0,864911.0
fixed20,after_births,Newfoundland and Labrador,2023,66764.0,332116.4,135691.6,534572.0
fixed20,after_births,Newfoundland and Labrador,2024,66606.2,335817.80000000005,139680.0,542104.0
fixed20,after_births,Newfoundland and Labrador,2025,66513.4,340149.60000000003,143624.0,550287.0
fixed20,after_births,Nova Scotia,2023,139539.40000000002,651133.2000000001,241299.40000000002,1031972.0000000001
fixed20,after_births,Nova Scotia,2024,141954.2,670175.0,248811.80000000002,1060941.0
fixed20,after_births,Nova Scotia,2025,143827.2,690769.8,256107.0,1090704.0
fixed20,after_births,Ontario,2023,2287968.6,10038321.200000001,2965009.2,15291299.0
fixed20,after_births,Ontario,2024,2309991.2,10398508.200000001,3065742.6,15774242.000000002
fixed20,after_births,Ontario,2025,2342689.8,10772187.8,3174873.4000000004,16289751.000000002
fixed20,after_births,Prince Edward Island,2023,24140.800000000003,107409.20000000001,36925.0,168475.0
fixed20,after_births,Prince Edward Island,2024,24443.0,112485.40000000001,38185.6,175114.00000000003
fixed20,after_births,Prince Edward Island,2025,24767.4,116965.0,39351.6,181084.0
fixed20,after_births,Quebec,2023,1355300.4000000001,5480300.600000001,1913470.0000000002,8749071.000000002
fixed20,after_births,Quebec,2024,1359827.4,5566541.800000001,1973249.8000000003,8899619.000000002
fixed20,after_births,Quebec,2025,1362330.4000000001,5678265.8,2032048.8,9072645.0
fixed20,after_births,Saskatchewan,2023,224527.8,747514.2000000001,219796.0,1191838.0
fixed20,after_births,Saskatchewan,2024,227626.2,768931.2000000001,226796.6,1223354.0000000002
fixed20,after_births,Saskatchewan,2025,230395.0,796807.8,233812.2,1261015.0
fixed20,after_births,Yukon,2023,7052.8,30198.0,7039.2,44290.0
fixed20,after_births,Yukon,2024,7170.400000000001,31299.600000000002,7374.0,45844.0
fixed20,after_births,Yukon,2025,7329.6,33018.0,7690.400000000001,48038.0
fixed20,after_deaths,Alberta,2023,819413.8,3008958.0,699857.2000000001,4528229.0
fixed20,after_deaths,Alberta,2024,835849.4,3132691.6,737553.0,4706094.0
fixed20,after_deaths,Alberta,2025,858495.2000000001,3294443.6,775071.2000000001,4928010.0
fixed20,after_deaths,British Columbia,2023,730385.8,3533274.0000000005,1090887.2,5354547.000000001
fixed20,after_deaths,British Columbia,2024,734991.2000000001,3649499.8000000003,1129036.0,5513527.0
fixed20,after_deaths,British Columbia,2025,740146.4,3762888.2,1168548.4000000001,5671583.000000001
fixed20,after_deaths,Manitoba,2023,258034.40000000002,914138.2000000001,244095.40000000002,1416268.0
fixed20,after_deaths,Manitoba,2024,260769.80000000002,943518.4000000001,251867.80000000002,1456156.0000000002
fixed20,after_deaths,Manitoba,2025,263679.2,971502.0,259935.80000000002,1495117.0
fixed20,after_deaths,New Brunswick,2023,112272.6,503212.80000000005,190551.6,806037.0
fixed20,after_deaths,New Brunswick,2024,115279.4,516362.4,197061.2,828703.0
fixed20,after_deaths,New Brunswick,2025,118662.40000000001,534418.6,202942.0,856023.0
fixed20,after_deaths,Newfoundland and Labrador,2023,66738.0,330962.4,130590.6,528291.0
fixed20,after_deaths,Newfoundland and Labrador,2024,66576.2,334676.80000000005,134629.0,535882.0
fixed20,after_deaths,Newfoundland and Labrador,2025,66482.4,339030.60000000003,138427.0,543940.0
fixed20,after_deaths,Nova Scotia,2023,139485.40000000002,649208.2000000001,232089.40000000002,1020783.0000000001
fixed20,after_deaths,Nova Scotia,2024,141889.2,668297.0,239689.80000000002,1049876.0
fixed20,after_deaths,Nova Scotia,2025,143763.2,688903.8,246775.0,1079442.0
fixed20,after_deaths,Ontario,2023,2287077.6,10015049.200000001,2865678.2,15167805.0
fixed20,after_deaths,Ontario,2024,2309133.2,10375595.200000001,2967453.6,15652182.000000002
fixed20,after_deaths,Ontario,2025,2341815.8,10749269.8,3074047.4000000004,16165133.000000002
fixed20,after_deaths,Prince Edward Island,2023,24134.800000000003,107126.20000000001,35565.0,166826.0
fixed20,after_deaths,Prince Edward Island,2024,24436.0,112202.40000000001,36886.6,173525.00000000003
fixed20,after_deaths,Prince Edward Island,2025,24760.4,116678.0,38025.6,179464.0
fixed20,after_deaths,Quebec,2023,1354768.4000000001,5468731.600000001,1847277.0000000002,8670777.000000002
