model,alpha_source_65_69,alpha_target_70_74,rmse,mae,max_abs_error,median_abs_error
best_grid_rmse,0.255,0.27,1957.9141716919976,1782.1596382719774,2579.6935829065624,2096.804956644075
best_grid_mae,0.25,0.265,2031.1571525261045,1613.9346382720203,3137.2085829066345,1587.7899566441192
fixed20,0.2,0.2,2293.7291663040696,2138.6896382720247,3310.909956644173,1567.573582906567
real_single_age,0.18187739004384904,0.19063689061848807,5386.3690526954715,4933.606688123992,7760.615515058802,4527.455612579826
fixed_source_low_target,0.2,0.18,10548.144910124127,10387.233916334322,12395.269956644159,10807.625375265314
high_source_fixed_target,0.23,0.2,18346.790356233047,18273.44058300095,19991.53995664412,18761.69537526532

