operator,stage,geo,year,P1_0_14,P2_15_64,P3_65plus,P_tot
fixed20,after_births,Manitoba,2025,263858.2,974440.0,269665.8,1507964.0
fixed20,after_births,New Brunswick,2022,110353.4,495568.80000000005,191258.80000000002,797181.0000000001
fixed20,after_births,New Brunswick,2023,112304.6,504867.80000000005,197841.6,815014.0
fixed20,after_births,New Brunswick,2024,115326.4,517901.4,204213.2,837441.0
fixed20,after_births,New Brunswick,2025,118709.40000000001,535974.6,210227.0,864911.0
fixed20,after_births,Newfoundland and Labrador,2022,67468.8,331488.80000000005,131893.4,530851.0
fixed20,after_births,Newfoundland and Labrador,2023,66764.0,332116.4,135691.6,534572.0
fixed20,after_births,Newfoundland and Labrador,2024,66606.2,335817.80000000005,139680.0,542104.0
fixed20,after_births,Newfoundland and Labrador,2025,66513.4,340149.60000000003,143624.0,550287.0
fixed20,after_births,Nova Scotia,2022,136902.2,637508.8,233436.0,1007847.0
fixed20,after_births,Nova Scotia,2023,139539.40000000002,651133.2000000001,241299.40000000002,1031972.0000000001
fixed20,after_births,Nova Scotia,2024,141954.2,670175.0,248811.80000000002,1060941.0
fixed20,after_births,Nova Scotia,2025,143827.2,690769.8,256107.0,1090704.0
fixed20,after_births,Ontario,2022,2284853.2,9827347.200000001,2869226.6,14981427.000000002
fixed20,after_births,Ontario,2023,2287968.6,10038321.200000001,2965009.2,15291299.0
fixed20,after_births,Ontario,2024,2309991.2,10398508.200000001,3065742.6,15774242.000000002
fixed20,after_births,Ontario,2025,2342689.8,10772187.8,3174873.4000000004,16289751.000000002
fixed20,after_births,Prince Edward Island,2022,23861.4,104045.6,35619.0,163526.0
fixed20,after_births,Prince Edward Island,2023,24140.800000000003,107409.20000000001,36925.0,168475.0
fixed20,after_births,Prince Edward Island,2024,24443.0,112485.40000000001,38185.6,175114.00000000003
fixed20,after_births,Prince Edward Island,2025,24767.4,116965.0,39351.6,181084.0
fixed20,after_births,Quebec,2022,1353733.6,5449076.4,1852726.0000000002,8655536.0
fixed20,after_births,Quebec,2023,1355300.4000000001,5480300.600000001,1913470.0000000002,8749071.000000002
fixed20,after_births,Quebec,2024,1359827.4,5566541.800000001,1973249.8000000003,8899619.000000002
fixed20,after_births,Quebec,2025,1362330.4000000001,5678265.8,2032048.8,9072645.0
fixed20,after_births,Saskatchewan,2022,224856.6,742873.2000000001,213645.2,1181375.0
fixed20,after_births,Saskatchewan,2023,224527.8,747514.2000000001,219796.0,1191838.0
fixed20,after_births,Saskatchewan,2024,227626.2,768931.2000000001,226796.6,1223354.0000000002
fixed20,after_births,Saskatchewan,2025,230395.0,796807.8,233812.2,1261015.0
fixed20,after_births,Yukon,2022,7021.400000000001,29591.800000000003,6791.8,43405.00000000001
fixed20,after_births,Yukon,2023,7052.8,30198.0,7039.2,44290.0
fixed20,after_births,Yukon,2024,7170.400000000001,31299.600000000002,7374.0,45844.0
fixed20,after_births,Yukon,2025,7329.6,33018.0,7690.400000000001,48038.0
fixed20,after_deaths,Alberta,2022,816056.0,2964284.4000000004,666998.6,4447339.0
fixed20,after_deaths,Alberta,2023,819413.8,3008958.0,699857.2000000001,4528229.0
fixed20,after_deaths,Alberta,2024,835849.4,3132691.6,737553.0,4706094.0
fixed20,after_deaths,Alberta,2025,858495.2000000001,3294443.6,775071.2000000001,4928010.0
fixed20,after_deaths,British Columbia,2022,725606.8,3443990.6,1054353.6,5223951.0
fixed20,after_deaths,British Columbia,2023,730385.8,3533274.0000000005,1090887.2,5354547.000000001
fixed20,after_deaths,British Columbia,2024,734991.2000000001,3649499.8000000003,1129036.0,5513527.0
fixed20,after_deaths,British Columbia,2025,740146.4,3762888.2,1168548.4000000001,5671583.000000001
fixed20,after_deaths,Manitoba,2022,257860.60000000003,900060.2000000001,236975.2,1394896.0
fixed20,after_deaths,Manitoba,2023,258034.40000000002,914138.2000000001,244095.40000000002,1416268.0
fixed20,after_deaths,Manitoba,2024,260769.80000000002,943518.4000000001,251867.80000000002,1456156.0000000002
fixed20,after_deaths,Manitoba,2025,263679.2,971502.0,259935.80000000002,1495117.0
fixed20,after_deaths,New Brunswick,2022,110302.4,494005.80000000005,184077.80000000002,788386.0000000001
fixed20,after_deaths,New Brunswick,2023,112272.6,503212.80000000005,190551.6,806037.0
fixed20,after_deaths,New Brunswick,2024,115279.4,516362.4,197061.2,828703.0
fixed20,after_deaths,New Brunswick,2025,118662.40000000001,534418.6,202942.0,856023.0
fixed20,after_deaths,Newfoundland and Labrador,2022,67444.8,330269.80000000005,126844.40000000001,524559.0
fixed20,after_deaths,Newfoundland and Labrador,2023,66738.0,330962.4,130590.6,528291.0
fixed20,after_deaths,Newfoundland and Labrador,2024,66576.2,334676.80000000005,134629.0,535882.0
fixed20,after_deaths,Newfoundland and Labrador,2025,66482.4,339030.60000000003,138427.0,543940.0
fixed20,after_deaths,Nova Scotia,2022,136846.2,635605.8,224555.0,997007.0
fixed20,after_deaths,Nova Scotia,2023,139485.40000000002,649208.2000000001,232089.40000000002,1020783.0000000001
fixed20,after_deaths,Nova Scotia,2024,141889.2,668297.0,239689.80000000002,1049876.0
fixed20,after_deaths,Nova Scotia,2025,143763.2,688903.8,246775.0,1079442.0
fixed20,after_deaths,Ontario,2022,2283988.2,9803725.200000001,2773034.6,14860748.000000002
fixed20,after_deaths,Ontario,2023,2287077.6,10015049.200000001,2865678.2,15167805.0
fixed20,after_deaths,Ontario,2024,2309133.2,10375595.200000001,2967453.6,15652182.000000002
fixed20,after_deaths,Ontario,2025,2341815.8,10749269.8,3074047.4000000004,16165133.000000002
fixed20,after_deaths,Prince Edward Island,2022,23854.4,103796.6,34325.0,161976.0
fixed20,after_deaths,Prince Edward Island,2023,24134.800000000003,107126.20000000001,35565.0,166826.0
fixed20,after_deaths,Prince Edward Island,2024,24436.0,112202.40000000001,36886.6,173525.00000000003
fixed20,after_deaths,Prince Edward Island,2025,24760.4,116678.0,38025.6,179464.0
fixed20,after_deaths,Quebec,2022,1353226.6,5438229.4,1790360.0000000002,8581816.0
fixed20,after_deaths,Quebec,2023,1354768.4000000001,5468731.600000001,1847277.0000000002,8670777.000000002
fixed20,after_deaths,Quebec,2024,1359278.4,5555397.800000001,1905660.8000000003,8820337.000000002
fixed20,after_deaths,Quebec,2025,1361854.4000000001,5667446.8,1963643.8,8992945.0
fixed20,after_deaths,Saskatchewan,2022,224745.6,740105.2000000001,205261.2,1170112.0
fixed20,after_deaths,Saskatchewan,2023,224400.8,744951.2000000001,211434.0,1180786.0
fixed20,after_deaths,Saskatchewan,2024,227503.2,766317.2000000001,218496.6,1212317.0000000002
fixed20,after_deaths,Saskatchewan,2025,230268.0,794203.8,225371.2,1249843.0
fixed20,after_deaths,Yukon,2022,7013.400000000001,29447.800000000003,6575.8,43037.00000000001
fixed20,after_deaths,Yukon,2023,7049.8,30103.0,6818.2,43971.0
fixed20,after_deaths,Yukon,2024,7166.400000000001,31180.600000000002,7162.0,45509.0
fixed20,after_deaths,Yukon,2025,7326.6,32904.0,7469.400000000001,47700.0
fixed20,after_international,Alberta,2022,826397.0,3011179.4000000004,669508.6,4507085.0
fixed20,after_international,Alberta,2023,836992.8,3108439.0,703736.2000000001,4649168.0
fixed20,after_international,Alberta,2024,860126.4,3258573.6,741936.0,4860636.0
fixed20,after_international,Alberta,2025,872634.2000000001,3350046.6,778527.2000000001,5001208.0
fixed20,after_international,British Columbia,2022,740285.8,3536142.6,1056347.6,5332776.0
fixed20,after_international,British Columbia,2023,750186.8,3668196.0000000005,1093525.2,5511908.000000001
fixed20,after_international,British Columbia,2024,756229.2,3786345.8000000003,1132666.0,5675241.0
fixed20,after_international,British Columbia,2025,749302.4,3780520.2,1170105.4000000001,5699928.000000001
fixed20,after_international,Manitoba,2022,262622.60000000003,920867.2000000001,237459.2,1420949.0
fixed20,after_international,Manitoba,2023,266296.4,951822.2000000001,245011.40000000002,1463130.0
fixed20,after_international,Manitoba,2024,268884.80000000005,978754.4000000001,252903.80000000002,1500543.0000000002
fixed20,after_international,Manitoba,2025,267857.2,985260.0,260631.80000000002,1513749.0
fixed20,after_international,New Brunswick,2022,112887.4,503920.80000000005,184163.80000000002,800972.0000000001
fixed20,after_international,New Brunswick,2023,116734.6,518678.80000000005,190638.6,826052.0
fixed20,after_international,New Brunswick,2024,120850.4,534824.4,197199.2,852874.0
fixed20,after_international,New Brunswick,2025,122415.40000000001,544502.6,202950.0,869868.0
fixed20,after_international,Newfoundland and Labrador,2022,68224.8,334364.80000000005,126865.40000000001,529455.0
fixed20,after_international,Newfoundland and Labrador,2023,68650.0,338419.4,130659.6,537729.0
fixed20,after_international,Newfoundland and Labrador,2024,68644.2,342370.80000000005,134763.0,545778.0
fixed20,after_international,Newfoundland and Labrador,2025,68243.4,343145.60000000003,138457.0,549846.0
fixed20,after_international,Nova Scotia,2022,139652.2,647973.8,224707.0,1012333.0
fixed20,after_international,Nova Scotia,2023,143594.40000000002,670154.2000000001,232267.40000000002,1046016.0000000001
fixed20,after_international,Nova Scotia,2024,146448.2,687583.0,239896.80000000002,1073928.0
fixed20,after_international,Nova Scotia,2025,146121.2,697032.8,246865.0,1090019.0
fixed20,after_international,Ontario,2022,2321894.2,10084266.200000001,2780693.6,15186854.000000002
fixed20,after_international,Ontario,2023,2344512.6,10441881.200000001,2875817.2,15662211.0
fixed20,after_international,Ontario,2024,2376913.2,10831249.200000001,2979323.6,16187486.000000002
fixed20,after_international,Ontario,2025,2377492.8,10817016.8,3081529.4000000004,16276039.000000002
fixed20,after_international,Prince Edward Island,2022,24410.4,106748.6,34333.0,165492.0
fixed20,after_international,Prince Edward Island,2023,24833.800000000003,111843.20000000001,35586.0,172263.0
