geo,gender,age_single,year,population
Nova Scotia,Men+,5,2021,4720.0
Nova Scotia,Women+,5,2021,4490.0
New Brunswick,Men+,5,2021,3675.0
New Brunswick,Women+,5,2021,3510.0
Quebec,Men+,5,2021,47915.0
Quebec,Women+,5,2021,45285.0
Ontario,Men+,5,2021,76170.0
Ontario,Women+,5,2021,72565.0
Manitoba,Men+,5,2021,8885.0
Manitoba,Women+,5,2021,8280.0
Saskatchewan,Men+,5,2021,7600.0
Saskatchewan,Women+,5,2021,7445.0
Alberta,Men+,5,2021,28245.0
Alberta,Women+,5,2021,27575.0
British Columbia,Men+,5,2021,24630.0
British Columbia,Women+,5,2021,23205.0
Yukon,Men+,5,2021,265.0
Yukon,Women+,5,2021,240.0
Northwest Territories,Men+,5,2021,295.0
Northwest Territories,Women+,5,2021,310.0
Nunavut,Men+,5,2021,425.0
Nunavut,Women+,5,2021,350.0
Newfoundland and Labrador,Men+,6,2021,2285.0
Newfoundland and Labrador,Women+,6,2021,2235.0
Prince Edward Island,Men+,6,2021,875.0
Prince Edward Island,Women+,6,2021,760.0
Nova Scotia,Men+,6,2021,4835.0
Nova Scotia,Women+,6,2021,4575.0
New Brunswick,Men+,6,2021,3915.0
New Brunswick,Women+,6,2021,3830.0
Quebec,Men+,6,2021,48000.0
Quebec,Women+,6,2021,46165.0
Ontario,Men+,6,2021,77705.0
Ontario,Women+,6,2021,73360.0
Manitoba,Men+,6,2021,8860.0
Manitoba,Women+,6,2021,8345.0
Saskatchewan,Men+,6,2021,7805.0
Saskatchewan,Women+,6,2021,7380.0
Alberta,Men+,6,2021,28730.0
Alberta,Women+,6,2021,27145.0
British Columbia,Men+,6,2021,24920.0
British Columbia,Women+,6,2021,23475.0
Yukon,Men+,6,2021,225.0
Yukon,Women+,6,2021,225.0
Northwest Territories,Men+,6,2021,280.0
Northwest Territories,Women+,6,2021,280.0
Nunavut,Men+,6,2021,410.0
Nunavut,Women+,6,2021,425.0
Newfoundland and Labrador,Men+,7,2021,2425.0
Newfoundland and Labrador,Women+,7,2021,2255.0
Prince Edward Island,Men+,7,2021,840.0
Prince Edward Island,Women+,7,2021,810.0
Nova Scotia,Men+,7,2021,4635.0
Nova Scotia,Women+,7,2021,4585.0
New Brunswick,Men+,7,2021,3905.0
New Brunswick,Women+,7,2021,3825.0
Quebec,Men+,7,2021,49025.0
Quebec,Women+,7,2021,46960.0
Ontario,Men+,7,2021,77940.0
Ontario,Women+,7,2021,74285.0
Manitoba,Men+,7,2021,8900.0
Manitoba,Women+,7,2021,8275.0
Saskatchewan,Men+,7,2021,7780.0
Saskatchewan,Women+,7,2021,7570.0
Alberta,Men+,7,2021,28365.0
Alberta,Women+,7,2021,26975.0
British Columbia,Men+,7,2021,25015.0
British Columbia,Women+,7,2021,23650.0
Yukon,Men+,7,2021,225.0
Yukon,Women+,7,2021,210.0
Northwest Territories,Men+,7,2021,285.0
Northwest Territories,Women+,7,2021,260.0
Nunavut,Men+,7,2021,410.0
Nunavut,Women+,7,2021,430.0
Newfoundland and Labrador,Men+,8,2021,2355.0
Newfoundland and Labrador,Women+,8,2021,2250.0
Prince Edward Island,Men+,8,2021,795.0
Prince Edward Island,Women+,8,2021,780.0
Nova Scotia,Men+,8,2021,4880.0
Nova Scotia,Women+,8,2021,4615.0
New Brunswick,Men+,8,2021,4020.0
New Brunswick,Women+,8,2021,3690.0
Quebec,Men+,8,2021,50405.0
Quebec,Women+,8,2021,47345.0
Ontario,Men+,8,2021,79915.0
Ontario,Women+,8,2021,75400.0
Manitoba,Men+,8,2021,9090.0
Manitoba,Women+,8,2021,8475.0
Saskatchewan,Men+,8,2021,8090.0
Saskatchewan,Women+,8,2021,7520.0
Alberta,Men+,8,2021,28630.0
Alberta,Women+,8,2021,27305.0
British Columbia,Men+,8,2021,25640.0
