"Age (in single years), average age and median age and gender: Canada, provinces and territories, census divisions, census subdivisions and dissemination areas"
"Frequency: Occasional"
"Table: 98-10-0023-01"
"Release date: 2022-04-27"
"Geography: Canada, Province or territory, Census division, Census subdivision, Dissemination area"
"Universe: Total population, including institutional residents, 2021 Census — 100% data"
"Variable List: Age (in single years), average age and median age (128), Gender (3)"

"Geography","Newfoundland and Labrador i2",,"Prince Edward Island i1468",,"Nova Scotia i1889",,"New Brunswick i3673",,"Quebec i5425",,"Ontario i20612",,"Manitoba i41707",,"Saskatchewan i44193",,"Alberta i47788",,"British Columbia i54434",,"Yukon i63063",,"Northwest Territories i63174",,"Nunavut i63320",
"Gender (3) 2 3","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5"
"Age (in single years), average age and median age (128) 1","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021"
"18","2,600","2,545","820","860","4,900","4,585","4,040","3,750","42,485","40,900","81,465","76,595","8,325","7,620","6,805","6,295","25,060","24,085","26,185","24,390","200","180","235","260","320","300"
"19","2,660","2,505","870","835","5,075","4,925","3,995","3,845","43,905","42,300","84,525","79,625","8,475","7,745","6,900","6,360","24,675","23,015","26,590","24,865","190","200","210","250","295","290"
"20 to 24 years","13,560","12,520","5,570","5,005","30,110","27,895","21,990","20,130","235,250","225,410","465,520","430,075","48,255","43,155","34,575","32,295","128,590","120,150","151,505","143,145","1,080","1,055","1,340","1,215","1,475","1,380"
"20","2,735","2,485","960","940","5,425","5,145","4,100","4,015","45,460","43,415","89,300","82,565","9,160","8,530","6,900","6,380","25,435","23,595","28,690","27,020","205","195","235","250","325","285"
"21","2,765","2,590","1,070","1,060","5,935","5,740","4,630","4,135","46,445","44,680","92,745","84,865","10,170","8,855","7,045","6,625","25,840","24,100","29,580","28,030","190","210","235","260","325","270"
"22","2,760","2,525","1,235","1,070","6,200","5,590","4,495","4,080","45,825","43,860","91,315","84,925","9,955","8,745","6,870","6,335","25,480","24,070","29,935","28,320","205","195","265","210","275","280"
"23","2,730","2,500","1,195","995","6,355","5,765","4,390","4,105","47,260","45,805","95,195","87,835","9,600","8,555","6,815","6,430","25,550","23,915","30,820","29,500","240","235","300","230","295","260"
"24","2,565","2,420","1,110","940","6,200","5,655","4,375","3,800","50,260","47,650","96,970","89,890","9,380","8,475","6,955","6,530","26,285","24,470","32,475","30,270","245","225","305","265","255","280"
"25 to 29 years","12,610","12,435","4,765","4,435","30,380","30,050","21,670","20,715","266,455","260,700","497,185","478,215","46,240","44,230","35,420","34,605","138,510","136,950","170,505","166,580","1,310","1,395","1,610","1,535","1,475","1,520"
"25","2,545","2,440","1,110","930","6,265","6,045","4,355","3,995","51,385","49,750","100,575","93,920","9,365","8,780","6,915","6,520","26,900","25,705","33,370","32,105","235","210","315","315","330","295"
"26","2,535","2,360","960","895","6,165","5,950","4,320","4,080","52,140","50,820","101,730","94,735","9,320","8,890","6,850","6,845","26,890","26,000","33,885","32,205","235","280","330","280","295","325"
"27","2,450","2,450","875","885","5,930","6,000","4,365","4,200","52,825","51,585","97,735","94,825","9,265","8,765","7,160","6,945","27,395","26,920","33,755","33,005","250","280","325","310","270","320"
"28","2,495","2,525","885","840","6,070","6,030","4,340","4,205","54,360","53,440","98,955","96,335","9,050","8,835","7,330","7,010","28,045","28,575","34,450","34,110","285","315","325","310","315","265"
"29","2,585","2,660","940","890","5,960","6,025","4,290","4,235","55,745","55,100","98,190","98,400","9,245","8,960","7,165","7,295","29,285","29,765","35,050","35,155","305","305","315","320","265","315"
"30 to 34 years","13,515","14,010","4,320","4,680","29,295","30,280","21,665","21,820","267,770","268,275","487,465","493,750","45,810","46,000","38,930","39,450","160,175","163,080","178,925","179,665","1,665","1,755","1,705","1,795","1,550","1,485"
"30","2,745","2,790","875","960","6,095","6,195","4,450","4,380","56,875","56,405","100,825","100,235","9,425","9,390","7,775","7,655","31,145","31,495","36,580","36,125","365","350","360","385","340","340"
"31","2,790","2,895","910","925","6,180","6,200","4,330","4,360","55,465","55,505","100,690","101,315","9,315","9,345","7,895","7,900","32,285","32,765","36,590","36,715","320","360","350","355","310","290"
"32","2,615","2,670","860","925","5,745","6,025","4,225","4,380","52,820","52,490","97,065","98,325","9,070","9,130","7,655","8,110","32,130","32,715","35,985","35,925","320","350","330","355","320","305"
"33","2,635","2,850","830","895","5,530","5,995","4,275","4,320","51,125","51,480","94,585","96,650","8,840","9,105","7,835","7,735","31,860","32,560","34,850","35,530","320","350","360","365","315","275"
"34","2,730","2,800","845","980","5,745","5,865","4,385","4,375","51,490","52,395","94,300","97,220","9,160","9,035","7,770","8,060","32,765","33,550","34,920","35,365","335","345","315","340","275","275"
"35 to 39 years","14,210","15,235","4,295","4,685","27,960","29,795","22,470","23,450","274,355","276,075","463,175","484,855","44,695","45,455","39,375","40,045","168,385","170,555","175,175","178,175","1,660","1,765","1,570","1,565","1,195","1,180"
"35","2,720","2,930","900","915","5,625","5,840","4,430","4,550","53,335","53,380","95,440","98,325","9,200","9,255","8,065","8,070","34,055","34,145","35,700","35,790","345","410","325","315","260","275"
"36","2,905","3,035","870","885","5,690","5,925","4,360","4,665","53,860","54,780","94,825","98,630","8,980","9,230","8,040","8,050","34,050","34,335","35,905","35,970","350","350","295","310","275","230"
"37","2,840","3,080","810","960","5,605","5,945","4,480","4,780","54,965","55,155","92,635","96,610","9,010","9,130","7,860","8,040","33,895","34,500","34,775","35,575","310","365","330","310","220","230"
"38","2,900","3,030","870","955","5,635","6,085","4,640","4,845","54,835","55,790","91,535","96,400","8,825","8,905","7,720","8,160","33,725","33,990","34,775","35,460","340","335","325","295","240","230"
"39","2,845","3,160","840","970","5,405","6,005","4,565","4,610","57,365","56,980","88,735","94,895","8,675","8,935","7,690","7,725","32,660","33,585","34,020","35,385","315","310","290","335","200","215"
"40 to 44 years","14,780","16,115","4,355","4,770","26,900","29,520","23,095","24,220","286,400","286,160","427,865","462,295","41,690","42,840","36,675","36,380","153,715","153,950","156,475","163,265","1,370","1,470","1,470","1,510","1,085","1,030"
"40","2,875","3,150","830","930","5,460","5,930","4,540","4,825","58,860","59,060","89,000","94,800","8,785","8,975","7,750","7,605","32,605","32,675","33,285","34,280","315","350","340","315","245","245"
"41","2,935","3,260","845","955","5,525","6,065","4,660","4,850","58,980","58,675","86,865","93,220","8,425","8,695","7,475","7,445","31,725","31,770","31,970","33,530","265","295","305","335","215","215"
"42","2,965","3,105","925","970","5,365","5,985","4,505","4,635","56,925","57,080","84,525","92,080","8,300","8,570","7,385","7,235","30,580","30,800","31,185","32,500","280","275","245","300","235","190"
"43","3,020","3,255","910","935","5,230","5,750","4,605","4,835","55,955","55,905","83,900","90,940","8,170","8,310","7,075","7,055","29,715","29,470","30,130","31,550","280","280","280","285","195","185"
"44","2,990","3,340","845","980","5,325","5,790","4,795","5,080","55,680","55,450","83,585","91,255","8,005","8,295","6,985","7,035","29,085","29,240","29,915","31,400","235","275","290","280","200","190"
"45 to 49 years","16,485","17,510","4,620","4,885","28,410","30,785","24,470","25,670","259,560","256,900","430,580","464,005","39,915","40,320","32,425","32,650","139,705","138,065","149,520","160,515","1,220","1,400","1,305","1,315","965","960"
"45","3,180","3,305","860","960","5,515","5,920","4,785","4,980","54,315","53,815","84,915","92,075","8,180","8,330","6,770","6,720","28,885","28,785","29,730","31,855","260","295","240","285","215","205"
"46","3,260","3,445","900","975","5,645","6,025","4,745","5,150","54,090","53,400","86,280","93,280","8,120","8,115","6,630","6,570","28,460","28,015","30,015","32,030","240","295","265","270","195","180"
"47","3,280","3,410","930","965","5,590","6,185","4,725","5,120","50,815","50,825","84,625","91,745","7,835","7,785","6,340","6,430","27,515","27,185","29,400","31,995","245","230","245","235","180","150"
"48","3,240","3,595","950","940","5,785","6,185","4,945","5,160","50,015","49,135","86,245","92,180","7,830","7,925","6,355","6,545","27,310","27,075","29,740","32,100","225","300","260","250","190","200"
"49","3,525","3,750","980","1,050","5,875","6,475","5,270","5,255","50,325","49,730","88,515","94,725","7,955","8,165","6,330","6,395","27,535","27,005","30,640","32,540","250","280","300","275","190","225"
"50 to 54 years","18,690","19,690","4,845","5,115","30,600","33,175","25,695","26,445","262,610","260,330","455,415","485,845","38,715","39,495","31,305","31,445","131,645","131,120","158,545","170,460","1,225","1,235","1,390","1,340","1,000","990"
"50","3,660","3,810","1,015","1,035","6,140","6,675","5,165","5,395","52,400","51,760","92,880","99,135","8,050","8,240","6,440","6,490","28,395","27,625","32,625","35,085","285","295","330","280","195","205"
"51","3,620","3,805","940","1,025","5,995","6,565","5,090","5,195","52,450","51,650","91,465","97,755","7,905","8,050","6,190","6,300","27,000","26,470","32,485","34,855","260","240","285","275","195","200"
"52","3,680","3,895","985","1,020","6,060","6,465","5,005","5,150","51,735","51,000","90,530","96,970","7,690","7,830","6,435","6,270","26,080","26,295","31,905","34,645","225","225","285","255","205","190"
"53","3,875","4,065","905","1,020","6,005","6,600","5,200","5,240","51,955","52,115","90,190","95,455","7,620","7,565","6,065","6,125","25,275","25,450","30,905","33,340","220","250","280","270","200","215"
"54","3,845","4,115","995","1,025","6,395","6,870","5,235","5,460","54,070","53,800","90,360","96,530","7,450","7,805","6,175","6,260","24,900","25,285","30,620","32,530","235","220","210","255","215","180"
"55 to 59 years","20,530","21,620","5,640","6,000","37,210","39,875","30,525","31,790","307,230","308,460","507,695","532,465","43,040","44,255","36,050","37,115","135,825","138,325","172,520","183,825","1,360","1,440","1,515","1,405","840","775"
"55","3,950","4,285","1,020","1,040","6,735","7,265","5,660","5,960","57,480","57,065","97,135","101,560","8,150","8,305","6,535","6,670","25,890","25,940","32,005","34,180","280","235","260","280","180","195"
"56","4,145","4,400","1,175","1,195","7,370","8,010","6,190","6,475","62,065","62,360","102,400","108,000","8,535","8,960","7,100","7,300","27,240","27,460","34,090","36,285","260","260","350","295","175","145"
"57","4,180","4,275","1,115","1,290","7,660","8,115","6,205","6,340","62,400","62,515","104,230","109,350","8,750","8,920","7,360","7,670","27,980","28,170","35,665","38,135","260","295","285","275","190","160"
"58","4,095","4,365","1,175","1,275","7,720","8,200","6,330","6,385","63,085","64,050","104,070","108,400","8,810","9,020","7,735","7,830","27,685","28,570","36,455","38,295","260","320","320","280","160","140"
"59","4,165","4,300","1,155","1,200","7,715","8,285","6,140","6,630","62,205","62,475","99,860","105,155","8,790","9,050","7,310","7,650","27,025","28,185","34,310","36,930","290","325","295","285","130","135"
"60 to 64 years","20,695","21,825","5,465","5,965","37,080","39,855","30,525","31,870","307,715","317,895","467,950","498,625","42,080","43,075","36,725","37,430","131,595","133,645","170,210","184,920","1,435","1,445","1,235","1,125","625","565"
"60","4,245","4,445","1,150","1,270","7,650","8,285","6,180","6,460","63,530","64,595","99,825","105,900","8,920","9,105","7,520","7,560","27,570","28,305","34,995","37,780","310","335","275","270","150","125"
"61","4,215","4,320","1,120","1,230","7,535","7,985","6,080","6,350","62,100","64,380","96,475","102,625","8,790","8,860","7,555","7,640","27,130","27,485","34,475","37,740","285","270","260","215","185","130"
"62","4,105","4,400","1,070","1,145","7,280","7,950","5,950","6,210","61,455","63,985","92,860","98,750","8,285","8,495","7,360","7,590","26,385","26,400","33,530","36,615","270","295","265","245","105","120"
"63","4,085","4,410","1,105","1,175","7,365","7,990","6,135","6,530","61,175","63,260","90,930","96,580","8,075","8,500","7,245","7,390","25,750","26,160","34,230","36,800","310","295","220","210","100","100"
"64 ","4,045","4,250","1,025","1,155","7,250","7,640","6,180","6,320","59,460","61,680","87,855","94,775","8,015","8,115","7,040","7,255","24,760","25,290","32,985","35,990","260","250","215","195","90","90"
"65 years and over","56,680","63,935","15,055","17,650","98,845","116,480","82,350","94,810","801,925","951,605","1,198,885","1,438,820","104,255","124,795","91,765","106,220","295,160","334,065","473,640","542,720","3,160","2,895","2,105","2,000","850","750"
"65 to 69 years","19,720","20,730","5,055","5,445","32,730","35,660","27,580","29,610","264,020","277,950","386,325","426,890","35,570","37,495","32,140","32,625","106,970","110,300","152,705","166,700","1,225","1,150","870","780","395","320"
"65","4,050","4,315","1,115","1,170","6,990","7,575","5,755","6,115","56,530","58,595","83,830","91,330","7,760","7,910","7,050","7,195","24,310","24,920","32,700","35,335","285","270","190","165","85","65"
