"Age (in single years), average age and median age and gender: Canada, provinces and territories, census divisions, census subdivisions and dissemination areas"
"Frequency: Occasional"
"Table: 98-10-0023-01"
"Release date: 2022-04-27"
"Geography: Canada, Province or territory, Census division, Census subdivision, Dissemination area"
"Universe: Total population, including institutional residents, 2021 Census — 100% data"
"Variable List: Age (in single years), average age and median age (128), Gender (3)"

"Geography","Newfoundland and Labrador i2",,"Prince Edward Island i1468",,"Nova Scotia i1889",,"New Brunswick i3673",,"Quebec i5425",,"Ontario i20612",,"Manitoba i41707",,"Saskatchewan i44193",,"Alberta i47788",,"British Columbia i54434",,"Yukon i63063",,"Northwest Territories i63174",,"Nunavut i63320",
"Gender (3) 2 3","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5"
"Age (in single years), average age and median age (128) 1","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021"
"92","150","325","50","110","395","880","350","660","3,735","8,965","6,335","12,870","545","1,345","580","1,050","1,470","2,675","2,570","4,440","10","15","25","5","5","0"
"93","110","290","55","110","300","685","230","660","3,175","7,300","5,135","11,300","435","1,020","450","970","1,000","2,285","1,990","3,710","5","10","0","10","0","0"
"94","80","260","20","85","210","525","180","505","2,290","5,690","4,185","9,160","370","765","370","755","810","1,795","1,560","3,145","5","5","5","15","0","0"
"95 to 99 years","135","480","90","210","370","1,435","405","1,200","3,875","11,790","7,230","20,770","645","1,995","620","1,810","1,405","4,080","2,870","6,920","5","10","10","10","0","0"
"95","55","215","35","90","155","510","155","405","1,780","4,395","2,905","7,330","230","655","230","635","520","1,600","1,160","2,355","5","5","0","5","0","0"
"96","30","105","20","50","85","335","95","275","855","2,845","1,760","4,980","160","485","170","440","345","900","720","1,660","0","5","0","0","0","0"
"97","15","60","15","30","75","260","85","225","580","2,070","1,250","3,860","115","385","105","300","250","730","450","1,270","5","0","0","5","0","0"
"98","25","60","5","25","40","205","45","175","395","1,440","815","2,725","80","280","80","260","175","480","310","945","0","0","5","0","0","0"
"99","10","45","10","15","20","125","25","125","265","1,050","505","1,870","60","195","45","175","110","370","225","695","5","0","0","0","0","0"
"100 years and over","10","65","10","30","45","240","45","205","335","1,640","740","2,960","80","360","60","390","170","625","325","1,190","0","5","0","0","0","0"
"Average age","44.7","46.3","42.1","44.0","43.2","45.2","43.8","45.6","41.8","43.7","40.7","42.8","38.7","40.7","38.9","40.7","38.4","39.7","42.2","43.9","39.9","40.0","36.4","36.3","28.3","28.2"
"Median age","47.6","49.2","42.8","45.2","44.4","46.8","45.6","47.6","42.0","44.0","40.0","42.8","37.2","39.6","38.0","39.6","37.6","38.8","41.6","44.0","39.2","39.6","35.6","35.6","25.6","25.8"


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
i2,"Geography name: Newfoundland and Labrador; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: N.L.; Dissemination Geography Unique Identifier (DGUID): 2021A000210; Alternative geographic code: 10; Province or territory geocode: 10; Short-form total non-response rate: 3.1; Data quality flag: 00000; Data quality note: ..."
i1468,"Geography name: Prince Edward Island; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: P.E.I.; Dissemination Geography Unique Identifier (DGUID): 2021A000211; Alternative geographic code: 11; Province or territory geocode: 11; Short-form total non-response rate: 2.4; Data quality flag: 00000; Data quality note: ..."
i1889,"Geography name: Nova Scotia; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: N.S.; Dissemination Geography Unique Identifier (DGUID): 2021A000212; Alternative geographic code: 12; Province or territory geocode: 12; Short-form total non-response rate: 2.9; Data quality flag: 00000; Data quality note: ..."
i3673,"Geography name: New Brunswick; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: N.B.; Dissemination Geography Unique Identifier (DGUID): 2021A000213; Alternative geographic code: 13; Province or territory geocode: 13; Short-form total non-response rate: 3.2; Data quality flag: 00000; Data quality note: ..."
i5425,"Geography name: Quebec; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A000224; Alternative geographic code: 24; Province or territory geocode: 24; Short-form total non-response rate: 2.9; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."
i20612,"Geography name: Ontario; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A000235; Alternative geographic code: 35; Province or territory geocode: 35; Short-form total non-response rate: 2.8; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."
i41707,"Geography name: Manitoba; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: Man.; Dissemination Geography Unique Identifier (DGUID): 2021A000246; Alternative geographic code: 46; Province or territory geocode: 46; Short-form total non-response rate: 3.5; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."
i44193,"Geography name: Saskatchewan; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: Sask.; Dissemination Geography Unique Identifier (DGUID): 2021A000247; Alternative geographic code: 47; Province or territory geocode: 47; Short-form total non-response rate: 4.5; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."
i47788,"Geography name: Alberta; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: Alta.; Dissemination Geography Unique Identifier (DGUID): 2021A000248; Alternative geographic code: 48; Province or territory geocode: 48; Short-form total non-response rate: 3.6; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."
i54434,"Geography name: British Columbia; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A000259; Alternative geographic code: 59; Province or territory geocode: 59; Short-form total non-response rate: 3.5; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."
i63063,"Geography name: Yukon; Geographic area type: Territory; Geographic area type abbreviation: TERR; Geographic level: Province or territory; Province or territory abbreviation: Y.T.; Dissemination Geography Unique Identifier (DGUID): 2021A000260; Alternative geographic code: 60; Province or territory geocode: 60; Short-form total non-response rate: 4.3; Data quality flag: 00010; Data quality note: ..."
i63174,"Geography name: Northwest Territories; Geographic area type: Territory; Geographic area type abbreviation: TERR; Geographic level: Province or territory; Province or territory abbreviation: N.W.T.; Dissemination Geography Unique Identifier (DGUID): 2021A000261; Alternative geographic code: 61; Province or territory geocode: 61; Short-form total non-response rate: 8.2; Data quality flag: 00010; Data quality note: ..."
i63320,"Geography name: Nunavut; Geographic area type: Territory; Geographic area type abbreviation: TERR; Geographic level: Province or territory; Province or territory abbreviation: Nvt.; Dissemination Geography Unique Identifier (DGUID): 2021A000262; Alternative geographic code: 62; Province or territory geocode: 62; Short-form total non-response rate: 20.2; Data quality flag: 02020; Data quality note: ..."



Footnotes:
1,"Age    'Age' refers to the age of a person (or subject) of interest at last birthday (or relative to a specified, well-defined reference date)."
2,"Gender  Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman).   Gender includes the following concepts:   gender identity, which refers to the gender that a person feels internally and individually;   gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender.  A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's licence. A person's gender may change over time.   Some people may not identify with a specific gender."
3,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol."
4,"This category includes men and boys, as well as some non-binary persons."
5,"This category includes women and girls, as well as some non-binary persons."



"How to cite: Statistics Canada. Table 98-10-0023-01  Age (in single years), average age and median age and gender: Canada, provinces and territories, census divisions, census subdivisions and dissemination areas"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810002301
