"Estimates of the components of interprovincial migration, by age and gender, annual 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0015-01 (formerly CANSIM 051-0012)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Newfoundland and Labrador",,,,,,,,,,"Prince Edward Island",,,,,,,,,,"Nova Scotia",,,,,,,,,,"New Brunswick",,,,,,,,,,"Quebec",,,,,,,,,,"Ontario",,,,,,,,,,"Manitoba",,,,,,,,,,"Saskatchewan",,,,,,,,,,"Alberta",,,,,,,,,,"British Columbia",,,,,,,,,,"Yukon",,,,,,,,,,"Northwest Territories including Nunavut (Terminated) 10",,,,,,,,,,"Northwest Territories 11",,,,,,,,,,"Nunavut 11",,,,,,,,,
"Gender","Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,
"Migrants","In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,,"In-migrants",,,,
"Age group 4 8 9","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","2,682","3,974","3,700","3,596","3,005","2,732","3,986","3,813","3,656","3,072","2,006","2,606","2,594","2,395","2,203","1,840","2,634","2,708","2,344","2,189","9,677","12,559","11,311","11,975","8,288","9,369","12,948","11,485","12,006","8,459","6,262","8,967","8,093","8,362","6,156","5,842","9,309","8,106","8,060","6,157","11,179","14,456","13,228","13,006","11,356","10,917","14,531","13,066","12,909","11,296","29,335","39,470","38,715","34,948","32,898","27,108","37,920","37,893","34,182","32,052","6,913","7,937","7,078","6,247","6,436","5,883","7,269","6,551","5,997","6,094","5,428","7,137","7,481","8,819","7,865","5,511","7,486","7,567","8,525","7,911","22,695","36,118","46,056","48,066","37,662","22,082","37,583","46,548","47,216","38,040","29,837","38,239","31,299","27,282","23,740","29,476","39,387","31,788","27,883","24,287","734","805","855","952","695","711","858","830","941","711","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","762","882","803","953","975","683","883","816","810","889","328","409","359","436","551","305","424","336","385","521"
"-1 year 12","19","13","12","17","10","17","17","6","10","9","11","10","7","10","6","10","10","7","9","6","56","50","36","38","29","48","46","41","36","30","42","31","24","28","20","37","33","28","33","23","76","91","58","60","56","68","89","72","61","62","234","171","140","153","134","192","151","146","129","126","39","23","39","36","29","33","31","27","27","24","49","34","29","39","34","46","34","29","34","32","170","191","215","229","181","154","169","195","220","170","207","131","119","93","84","171","132","90","86","75","3","2","1","2","1","4","6","2","5","2","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","6","2","2","4","1","4","4","3","4","4","1","3","2","2","2","0","3","1","2","1"
"0 to 4 years","185","268","218","214","188","167","274","213","211","185","107","159","134","121","114","88","160","140","122","114","521","844","686","596","490","465","809","694","572","483","415","670","609","527","443","364","660","617","466","429","748","1,122","977","918","845","664","1,101","928","886","820","2,128","3,018","2,684","2,355","2,354","1,862","2,699","2,560","2,208","2,176","358","476","470","429","426","315","464","442","404","404","454","661","580","583","616","419","619","597","605","616","1,613","3,260","4,110","3,713","3,199","1,444","3,025","3,889","3,551","3,022","1,839","2,295","1,765","1,421","1,343","1,611","2,225","1,693","1,343","1,294","35","51","69","53","46","46","44","58","45","39","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","60","66","54","52","61","46","62","64","52","66","20","30","30","39","43","18","37","27","37","44"
"5 to 9 years","131","231","196","182","159","129","214","202","163","152","74","149","125","96","101","71","152","126","90","94","382","769","659","462","440","364","711","606","449","409","302","593","587","486","403","287","622","492","431","370","545","884","691","681","633","525","767","720","672","614","1,505","2,419","2,351","2,149","2,006","1,454","2,303","2,218","2,003","1,895","250","414","390","334","356","239","395","340","340","338","312","579","477","494","519","315","502","512","494","511","1,166","2,575","3,438","3,085","2,625","1,112","2,467","3,213","2,902","2,476","1,262","2,150","1,648","1,343","1,260","1,258","1,980","1,530","1,319","1,181","25","42","48","42","34","26","41","45","46","30","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","38","70","41","57","58","29","55","59","48","59","12","42","26","27","38","12","39","31","36","45"
"10 to 14 years","92","225","222","189","166","94","215","196","175","157","50","143","86","87","85","53","112","105","92","85","267","586","550","443","363","268","555","525","412","343","197","515","508","391","342","218","493","449","372","317","354","642","601","563","509","399","593","551","526","469","1,158","1,975","1,859","1,759","1,614","1,076","1,803","1,724","1,693","1,512","178","305","324","307","293","174","323","293","276","280","239","398","407","446","425","237","420","405","437","428","894","2,078","2,735","2,481","2,104","875","2,025","2,622","2,382","2,034","928","1,738","1,404","1,203","1,060","912","1,655","1,265","1,036","969","18","48","30","23","27","20","33","30","31","22","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","31","34","46","40","47","17","52","52","33","47","2","25","18","23","29","3","24","29","23","31"
"15 to 19 years","124","142","150","134","113","133","119","171","158","116","143","102","92","81","71","112","100","94","83","76","592","465","389","409","295","543","495","393","429","307","344","405","352","332","262","322","405","349","292","251","502","506","457","447","387","565","556","485","507","429","1,418","1,445","1,499","1,472","1,275","1,440","1,482","1,538","1,413","1,287","581","284","183","220","211","478","316","238","288","261","334","301","313","384","337","375","341","384","374","370","1,245","1,559","1,848","1,981","1,553","1,292","1,528","1,911","1,932","1,551","1,248","1,311","1,045","983","820","1,435","1,393","1,097","1,070","879","40","31","18","29","20","43","31","18","25","19","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","38","23","36","28","34","37","29","32","29","27","9","17","28","25","31","6","19","22","15","22"
"20 to 24 years","262","244","251","349","226","280","266","245","448","257","500","461","710","617","586","361","374","680","635","511","1,835","1,471","1,507","2,890","1,315","1,574","1,405","1,397","2,844","1,289","960","790","632","1,366","658","788","818","608","1,262","643","1,035","1,221","1,306","1,379","1,119","1,203","1,488","1,410","1,486","1,238","2,885","4,494","4,917","3,941","3,848","2,908","4,217","4,837","3,826","3,736","2,102","2,326","1,862","1,154","1,511","1,593","1,786","1,454","959","1,215","752","775","1,128","2,029","1,281","778","847","990","1,828","1,202","2,335","3,088","4,035","5,577","3,660","2,475","3,464","4,140","5,724","3,853","3,027","3,651","3,262","2,913","2,415","3,192","4,042","3,607","3,362","2,695","119","87","126","227","111","103","115","105","217","116","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","90","117","129","214","167","94","80","85","170","115","24","27","23","33","38","18","34","24","20","39"
"25 to 29 years","369","347","322","413","293","402","399","346","394","308","264","296","332","430","314","258","282","340","330","281","1,499","1,517","1,350","1,959","1,125","1,538","1,577","1,442","1,843","1,146","904","880","752","1,145","678","898","927","851","1,054","689","2,228","2,135","2,058","2,137","1,775","2,154","2,186","2,072","2,058","1,748","5,393","6,503","6,777","5,790","5,523","5,025","6,232","6,389","5,701","5,335","966","1,176","1,050","994","959","851","999","910","919","847","864","826","903","1,286","1,001","855","907","950","1,162","1,013","4,011","4,775","6,193","7,672","5,373","3,790","5,080","6,236","7,359","5,386","5,481","5,689","4,923","4,574","3,711","5,304","6,333","5,278","4,832","4,006","144","152","154","177","126","142","159","171","209","148","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","142","124","125","184","157","148","160","153","138","163","64","47","38","71","69","70","40","37","72","67"
"30 to 34 years","255","369","296","331","264","271","385","317","340","285","177","207","214","217","183","168","225","236","205","189","1,014","1,261","1,173","1,270","856","1,028","1,446","1,260","1,238","923","619","807","805","814","598","597","887","842","773","617","1,455","2,093","2,017","1,974","1,687","1,385","2,060","1,899","1,975","1,638","3,966","5,240","5,021","4,699","4,364","3,456","5,304","5,160","4,635","4,406","654","706","718","704","656","557","681","694","705","648","611","752","797","825","799","576","822","756","778","796","2,700","4,579","5,978","6,527","4,922","2,373","4,685","6,138","6,283","4,936","3,844","5,103","4,239","3,784","3,199","3,622","5,040","4,278","3,735","3,185","105","117","115","133","99","100","141","125","116","105","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","100","141","136","115","149","104","144","114","105","132","43","46","39","56","66","43","65","36","44","67"
