"Live births and fetal deaths (stillbirths), by place of birth (hospital or non-hospital) c 1 2 3 4 5 6"
"Frequency: Annual"
"Table: 13-10-0429-01 (formerly CANSIM 102-4516)"
"Release date: 2025-12-12"
"Geography: Canada, Province or territory"
""
""

,"Geography, place of residence of mother 7","Newfoundland and Labrador, place of residence of mother",,,,,"Prince Edward Island, place of residence of mother",,,,,"Nova Scotia, place of residence of mother",,,,,"New Brunswick, place of residence of mother",,,,,"Quebec, place of residence of mother",,,,,"Ontario, place of residence of mother",,,,,"Manitoba, place of residence of mother",,,,,"Saskatchewan, place of residence of mother",,,,,"Alberta, place of residence of mother",,,,,"British Columbia, place of residence of mother",,,,,"Yukon, place of residence of mother",,,,,"Northwest Territories including Nunavut, place of residence of mother (Terminated) 9",,,,,"Northwest Territories, place of residence of mother 10",,,,,"Nunavut, place of residence of mother",,,,,"Unknown province or territory, place of residence of mother 11",,,,
,"Characteristics 8","Number",,,,,"Number",,,,,"Number",,,,,"Number",,,,,"Number",,,,,"Number",,,,,"Number",,,,,"Number",,,,,"Number",,,,,"Number",,,,,"Number",,,,,"Number",,,,,"Number",,,,,"Number",,,,,"Number",,,,
"Live births and fetal deaths (stillbirths)","Place of birth","2020","2021","2022","2023","2024","2020","2021","2022","2023","2024","2020","2021","2022","2023","2024","2020","2021","2022","2023","2024","2020","2021","2022","2023","2024","2020","2021","2022","2023","2024","2020","2021","2022","2023","2024","2020","2021","2022","2023","2024","2020","2021","2022","2023","2024","2020","2021","2022","2023","2024","2020","2021","2022","2023","2024","2020","2021","2022","2023","2024","2020","2021","2022","2023","2024","2020","2021","2022","2023","2024","2020","2021","2022","2023","2024"
,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, births","Total, place of birth 12","3,640","3,909","3,596","3,225","3,428","1,317","1,475","1,334","1,339","1,356","7,697","7,631","7,936","7,456","7,910","6,251","6,525","6,268","6,110","6,582","82,618","85,810","81,326","78,476","77,659","138,379","142,401","136,807","138,431","144,859","16,710","16,642","15,680","15,427","15,793","14,097","14,489","13,321","13,060","13,158","49,509","50,381","47,940","48,776","52,106","42,819","44,536","42,406","41,899","44,521","415","463","364","398","458","..t","..t","..t","..t","..t","576","564","515","495","482","975","973","877","813","757","0","0","0","0","0"
,"Place of birth, hospital","3,630","3,889","3,585","3,219","3,410","1,306","1,459","1,317","1,314","1,326","7,632","7,546","7,849","7,369","7,812","6,192","6,456","6,197","6,033","6,519","82,211","85,242","80,884","77,995","77,137","134,253","138,106","133,026","135,139","140,265","16,368","16,209","15,266","14,990","15,397","13,906","14,310","13,160","12,879","12,980","47,635","48,227","45,913","46,769","50,038","41,339","43,063","41,167","40,684","43,375","406","452","352","391","449","..t","..t","..t","..t","..t","560","549","490","482","458","925","935","841","783","738","0","0","0","0","0"
,"Place of birth, non-hospital 12","10","20","10","6","8","11","16","17","25","29","65","85","87","87","91","59","68","71","77","58","407","567","442","481","508","4,123","4,294","3,781","3,292","3,424","342","433","413","437","391","190","178","160","169","175","1,874","2,154","2,027","2,007","2,066","1,422","1,460","1,227","1,183","1,001","5","10","11","6","8","..t","..t","..t","..t","..t","16","15","25","13","23","50","38","32","27","17","0","0","0","0","0"
,"Place of birth, unknown","0","0","1","0","10","0","0","0","0","1","0","0","0","0","7","0","1","0","0","5","0","1","0","0","14","3","1","0","0","1,170","0","0","1","0","5","1","1","1","12","3","0","0","0","0","2","58","13","12","32","145","4","1","1","1","1","..t","..t","..t","..t","..t","0","0","0","0","1","0","0","4","3","2","0","0","0","0","0"
"Live births 2","Total, place of birth 12","3,616","3,882","3,565","3,207","3,401","1,309","1,464","1,324","1,329","1,348","7,630","7,557","7,877","7,411","7,869","6,211","6,473","6,220","6,055","6,543","82,020","85,125","80,721","77,902","77,052","137,021","141,249","135,585","137,286","143,687","16,533","16,504","15,579","15,271","15,622","13,973","14,346","13,201","12,931","13,035","49,073","49,967","47,487","48,303","51,614","42,254","44,034","41,845","41,266","43,886","407","460","357","397","452","..t","..t","..t","..t","..t","569","554","507","482","475","966","949","866","804","753","0","0","0","0","0"
,"Place of birth, hospital","3,607","3,863","3,554","3,201","3,393","1,299","1,450","1,307","1,304","1,319","7,565","7,475","7,795","7,325","7,778","6,153","6,404","6,151","5,980","6,484","81,616","84,560","80,282","77,423","76,549","133,084","137,130","132,026","133,999","140,263","16,200","16,079","15,171","14,840","15,236","13,784","14,173","13,045","12,753","12,858","47,211","47,824","45,466","46,307","49,552","40,785","42,570","40,618","40,083","42,793","398","449","345","390","443","..t","..t","..t","..t","..t","555","539","482","472","453","916","918","835","776","737","0","0","0","0","0"
,"Place of birth, non-hospital 12","9","19","10","6","6","10","14","17","25","29","65","82","82","86","91","58","68","69","75","57","404","564","439","479","503","3,935","4,119","3,559","3,287","3,424","333","425","407","431","384","188","172","155","166","174","1,862","2,143","2,021","1,996","2,061","1,411","1,455","1,220","1,173","998","5","10","11","6","8","..t","..t","..t","..t","..t","14","15","25","10","22","50","31","27","25","14","0","0","0","0","0"
