"Age group 3 6","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40 to 44 years","15,659","15,714","16,029","16,489","16,687","16,337","16,353","16,585","17,038","17,214","4,662","4,807","5,008","5,111","5,300","5,034","5,209","5,525","5,746","5,817","28,755","29,804","31,624","33,259","34,174","30,098","31,411","32,948","34,049","34,777","24,068","24,694","26,015","27,275","27,762","24,585","24,962","26,277","27,723","28,269","299,138","303,835","310,014","317,215","315,921","288,834","292,551","296,998","301,123","300,148","459,521","471,705","493,345","522,151","539,469","474,155","482,740","499,126","521,308","534,720","44,831","45,948","48,209","50,518","51,748","43,519","44,613","46,597","48,711","49,861","39,296","40,357","42,524","44,572","45,779","37,186","38,311","40,678","42,975","44,591","164,851","169,950","180,566","192,674","199,853","158,570","164,595","174,500","186,175","193,282","168,601","176,719","187,100","196,870","203,077","168,977","177,099","186,355","196,230","201,544","1,509","1,629","1,727","1,835","1,946","1,549","1,596","1,718","1,857","1,910","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,617","1,611","1,618","1,723","1,703","1,590","1,599","1,605","1,599","1,578","1,209","1,210","1,250","1,257","1,294","1,101","1,111","1,151","1,192","1,207"
"45 to 49 years","17,193","16,864","16,888","16,840","16,747","17,874","17,523","17,345","17,304","17,313","4,882","4,893","4,997","5,095","5,068","5,127","5,141","5,267","5,395","5,448","29,752","29,837","30,196","30,619","31,078","31,144","31,025","31,272","31,818","32,282","25,189","25,179","25,659","26,362","26,783","25,946","26,199","26,506","26,859","27,146","267,684","275,462","285,727","297,627","305,943","258,412","265,732","275,318","285,678","293,286","452,406","451,093","456,759","469,660","477,406","476,527","474,920","478,611","488,566","492,894","41,894","42,121","43,429","44,888","45,898","40,924","41,102","42,132","43,724","44,607","34,368","35,067","36,713","38,848","40,422","33,455","34,038","35,103","36,604","37,962","147,114","149,538","155,436","163,979","170,548","141,164","144,058","149,547","157,733","164,278","157,653","159,522","163,557","169,150","173,126","165,152","166,307","168,806","173,658","176,896","1,324","1,330","1,434","1,496","1,545","1,488","1,470","1,473","1,534","1,549","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,450","1,443","1,450","1,411","1,468","1,450","1,420","1,412","1,446","1,478","1,089","1,097","1,090","1,136","1,168","1,097","1,037","987","1,003","1,022"
"50 to 54 years","19,310","19,037","18,587","18,379","18,124","20,072","19,810","19,530","19,210","18,897","5,059","5,108","5,226","5,244","5,233","5,324","5,413","5,445","5,431","5,376","31,656","31,562","31,720","31,723","31,623","33,508","33,554","33,555","33,665","33,366","26,255","26,545","26,633","26,741","26,684","26,656","26,776","26,945","27,283","27,365","267,206","264,176","264,184","266,521","269,743","259,688","256,512","255,602","258,027","260,700","472,928","470,484","469,024","469,604","467,411","497,548","496,566","496,138","496,905","493,576","40,149","40,380","40,714","41,206","41,570","40,032","40,225","40,753","41,107","41,261","32,639","32,695","33,146","33,398","34,219","32,017","32,109","32,584","33,015","33,451","137,163","139,375","142,775","146,753","149,595","133,471","135,343","138,309","141,556","144,096","164,762","165,387","165,556","165,144","163,618","174,444","175,691","175,871","175,915","173,480","1,313","1,335","1,365","1,397","1,390","1,315","1,374","1,437","1,442","1,481","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,536","1,592","1,561","1,549","1,508","1,484","1,492","1,445","1,424","1,413","1,095","1,073","1,064","1,037","1,047","1,140","1,187","1,168","1,121","1,084"
"55 to 59 years","21,294","21,041","20,808","20,365","19,913","21,835","21,764","21,671","21,472","20,996","5,793","5,712","5,491","5,361","5,173","6,079","6,003","5,814","5,610","5,524","38,374","37,185","35,650","34,028","32,803","39,849","38,801","37,572","36,176","35,029","31,061","30,300","29,259","28,184","27,186","31,783","30,974","30,093","29,091","27,959","311,972","302,484","291,079","280,957","272,085","305,288","296,299","285,175","275,239","266,312","526,613","512,759","496,638","483,999","473,675","537,478","528,132","516,778","509,103","501,570","44,144","42,395","41,041","39,919","39,222","44,317","42,857","41,517","40,684","39,922","37,243","35,712","34,024","33,011","32,129","37,144","35,630","34,103","32,832","32,037","141,163","137,765","135,262","134,002","134,181","139,142","136,210","134,490","134,375","134,326","177,943","173,844","168,213","164,921","163,146","184,188","180,918","177,529","176,173","175,929","1,442","1,374","1,327","1,321","1,303","1,467","1,356","1,263","1,223","1,211","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,676","1,550","1,453","1,406","1,358","1,457","1,423","1,395","1,373","1,357","930","1,004","1,014","1,019","1,040","834","889","960","999","1,060"
"60 to 64 years","21,379","21,495","21,575","21,647","21,513","22,048","22,088","22,065","22,018","22,132","5,593","5,813","5,924","5,997","6,062","6,037","6,197","6,359","6,516","6,491","38,227","38,994","39,522","39,969","39,645","40,028","40,963","41,387","41,776","41,706","31,023","31,198","31,612","31,920","31,951","32,011","32,475","32,564","32,900","32,974","312,043","313,768","314,461","314,708","312,823","315,127","315,387","315,343","313,751","310,722","485,012","494,748","505,992","516,151","518,317","504,436","513,123","524,541","536,026","539,816","43,149","43,588","43,984","44,180","43,512","43,297","43,994","44,580","45,064","44,955","37,841","37,906","38,206","38,073","37,391","37,560","37,839","38,227","38,333","37,846","136,471","137,959","139,908","141,477","140,995","134,897","137,882","141,202","144,209","144,239","174,741","176,121","178,335","180,174","178,801","185,152","186,585","188,510","190,733","189,221","1,510","1,491","1,449","1,425","1,374","1,494","1,535","1,536","1,522","1,457","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,370","1,426","1,484","1,484","1,524","1,192","1,238","1,264","1,237","1,268","684","704","763","821","791","606","633","643","667","682"
"65 to 69 years","20,011","20,219","20,399","20,471","20,532","21,022","21,244","21,501","21,609","21,561","5,101","5,174","5,361","5,427","5,513","5,529","5,749","5,874","5,891","6,022","33,310","34,610","35,656","36,180","36,738","35,765","36,886","37,992","38,645","39,188","27,846","28,824","29,482","29,814","30,092","29,708","30,510","31,224","31,501","31,543","264,249","273,391","282,438","288,988","293,723","272,991","282,630","291,699","298,834","303,814","394,059","408,097","422,640","437,225","450,003","431,501","445,799","459,212","472,133","483,723","36,059","37,206","38,253","39,094","39,976","37,442","38,557","39,715","40,612","41,504","32,695","33,759","34,669","35,320","35,813","32,713","34,018","35,218","36,108","36,617","109,521","115,285","121,010","125,983","129,562","111,234","117,424","123,971","129,104","133,831","154,436","158,345","161,925","164,876","166,873","166,331","171,421","175,906","179,480","181,925","1,247","1,287","1,336","1,352","1,366","1,181","1,217","1,278","1,321","1,332","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","925","954","993","1,044","1,105","840","880","920","965","953","418","420","425","456","505","358","374","402","433","472"
"70 to 74 years","16,827","17,136","17,411","17,900","18,267","18,034","18,422","18,854","19,302","19,622","4,449","4,450","4,430","4,515","4,651","4,803","4,864","4,938","5,085","5,194","28,550","28,476","28,589","29,279","30,016","31,109","31,214","31,506","32,401","33,399","23,819","24,013","24,303","24,812","25,268","25,186","25,649","26,295","26,979","27,840","216,725","220,283","224,551","230,770","238,334","230,289","233,935","238,951","245,549","253,962","328,986","330,157","334,715","343,734","355,406","367,611","370,880","378,093","389,893","403,323","28,484","28,736","29,396","30,488","31,758","31,360","31,755","32,430","33,663","34,947","24,041","24,814","26,069","27,414","28,888","25,073","25,648","26,633","27,982","29,625","80,288","82,947","87,030","92,526","98,438","84,944","87,964","92,434","98,355","104,583","130,953","132,486","134,352","137,332","140,749","140,769","143,067","146,354","151,284","156,155","931","909","967","1,011","1,066","854","859","890","937","991","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","630","616","630","685","726","548","563","605","633","704","271","279","273","284","318","245","258","283","297","303"
"75 to 79 years","10,942","11,860","12,645","13,203","13,796","12,190","13,144","14,052","14,914","15,770","2,769","3,155","3,471","3,652","3,819","3,186","3,514","3,844","4,061","4,310","18,848","20,519","21,886","22,914","23,887","21,304","23,253","24,797","26,011","27,117","15,405","16,670","17,872","18,982","19,941","16,851","18,409","19,768","20,992","22,080","153,853","163,693","171,640","179,178","185,179","172,914","183,037","191,409","198,931","204,896","222,549","241,334","256,717","269,863","282,199","256,395","277,745","295,978","312,566","329,020","18,772","20,286","21,378","22,428","23,494","21,377","23,008","24,624","26,044","27,451","15,784","16,892","17,772","18,739","19,823","17,488","18,654","19,612","20,694","21,763","50,920","55,748","60,419","64,347","68,939","56,240","61,636","66,878","71,796","76,972","87,018","94,164","100,374","105,779","111,505","95,450","103,752","111,037","117,631","124,917","580","639","681","715","719","482","544","596","639","684","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","399","438","450","463","475","373","378","383","422","449","132","146","167","170","176","118","134","133","149","161"
"80 to 84 years","6,052","6,268","6,645","7,113","7,543","7,580","7,802","8,180","8,604","9,071","1,632","1,684","1,725","1,868","1,979","2,173","2,257","2,314","2,464","2,576","11,226","11,713","12,348","12,948","13,703","14,244","14,821","15,448","16,161","16,762","9,191","9,774","10,337","10,837","11,393","11,453","11,899","12,329","12,832","13,383","90,105","95,671","102,328","108,797","115,854","116,703","121,673","127,171","133,655","140,250","143,650","149,366","156,699","164,392","172,013","184,585","190,601","197,377","204,833","212,037","11,715","12,130","12,656","13,261","13,892","15,133","15,603","16,222","16,743","17,326","10,289","10,591","11,011","11,370","11,760","13,083","13,301","13,554","13,890","14,259","31,751","33,210","35,178","37,633","39,625","38,784","40,305","42,337","44,611","46,857","55,198","57,626","60,803","64,317","67,475","65,869","68,388","71,649","75,455","79,105","277","301","303","340","391","239","234","272","309","349","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","157","155","186","218","244","228","254","262","263","272","53","58","58","69","81","63","67","69","72","73"
"85 to 89 years","2,856","2,945","3,058","3,205","3,402","4,085","4,292","4,500","4,754","4,976","888","899","934","933","977","1,407","1,404","1,444","1,509","1,574","5,883","6,057","6,359","6,642","6,773","8,869","8,928","9,132","9,410","9,803","4,695","4,803","5,064","5,373","5,685","7,220","7,272","7,303","7,644","7,881","48,997","49,702","51,146","53,243","56,458","78,684","78,535","78,627","80,116","82,629","83,324","85,288","87,861","91,346","94,717","123,315","124,747","127,751","132,144","136,564","6,438","6,451","6,707","6,913","7,153","10,441","10,318","10,390","10,663","10,933","6,101","5,910","6,046","6,206","6,417","9,682","9,496","9,542","9,447","9,475","18,296","18,600","19,182","19,723","20,717","26,039","26,323","26,968","27,717","28,658","31,725","32,340","33,324","34,643","36,314","41,960","43,004","44,445","46,272","48,095","113","116","138","152","164","147","161","152","160","160","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","92","94","102","95","83","74","82","101","119","135","27","23","23","20","19","38","34","40","29","35"
